Name ,Share price ,M Cap,Industry,Exchange
"THE BANK OF NAGOYA, LTD.",7060 JPY,79Cr,Other Banks,Tokyo Stock Exchange
"TOTETSU KOGYO CO., LTD.",3350 JPY,79Cr,Other Construction & Engineering,Tokyo Stock Exchange
"MOCHIDA PHARMACEUTICAL CO., LTD.",3280 JPY,79Cr,Other Pharmaceuticals,Tokyo Stock Exchange
ARATA CORPORATION,3490 JPY,79Cr,Other Personal Products,Tokyo Stock Exchange
FERROTEC HOLDINGS CORPORATION,2436 JPY,78Cr,Other Electronic Equipment & Parts,Tokyo Stock Exchange
ASTROSCALE HOLDINGS INC.,965 JPY,78Cr,Other Environmental Services & Equipment,Tokyo Stock Exchange
"JAC RECRUITMENT CO., LTD.",724 JPY,78Cr,Other Employment Services,Tokyo Stock Exchange
UNITED SUPER MARKETS HOLDINGS INC.,897 JPY,78Cr,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"OSAKA STEEL CO., LTD.",2964 JPY,78Cr,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"NORITAKE CO., LIMITED",3885 JPY,78Cr,Industrial Machinery,Tokyo Stock Exchange
IDOM INC.,1133 JPY,78Cr,Used Car Dealers,Tokyo Stock Exchange
TOSEI CORPORATION,2324 JPY,78Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"PRIMA MEAT PACKERS, LTD.",2269 JPY,78Cr,Animal Slaughtering & Processing,Tokyo Stock Exchange
"NAMURA SHIPBUILDING CO., LTD.",1556 JPY,77Cr,Other Shipbuilding,Tokyo Stock Exchange
"F.C.C. CO., LTD.",2257 JPY,77Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
JINS HOLDINGS INC.,4930 JPY,77Cr,Optical Goods Stores,Tokyo Stock Exchange
"NS UNITED KAIUN KAISHA, LTD.",4745 JPY,77Cr,Deep Sea Freight,Tokyo Stock Exchange
RISO KAGAKU CORPORATION,3450 JPY,77Cr,Commercial Document Management,Tokyo Stock Exchange
"BELLSYSTEM24 HOLDINGS, INC.",1514 JPY,77Cr,Other Business Support Services,Tokyo Stock Exchange
TSUBURAYA FIELDS HOLDINGS INC.,1879 JPY,77Cr,Other Casinos & Gaming,Tokyo Stock Exchange
EARTH CORPORATION,5150 JPY,76Cr,Other Household Products,Tokyo Stock Exchange
"GENKY DRUGSTORES CO., LTD.",3620 JPY,76Cr,Other Drug Retailers,Tokyo Stock Exchange
"NISHIO HOLDINGS CO., LTD.",4005 JPY,76Cr,Commercial Equipment Rental,Tokyo Stock Exchange
"UT GROUP CO.,LTD.",2807 JPY,76Cr,Outsourcing & Staffing Services,Tokyo Stock Exchange
ARCLANDS CORPORATION,1772 JPY,76Cr,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
"NOMURA MICRO SCIENCE CO., LTD.",2875 JPY,76Cr,Industrial Machinery,Tokyo Stock Exchange
"TOCALO CO.,LTD.",1865 JPY,75Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
FUKUSHIMA GALILEI CO.LTD.,5590 JPY,75Cr,"Heating, Ventilation & Air Conditioning Systems",Tokyo Stock Exchange
FUJITA KANKO INC.,9070 JPY,74Cr,Hotels & Motels,Tokyo Stock Exchange
"YUASA TRADING CO., LTD.",5150 JPY,74Cr,Construction Supplies & Fixtures Wholesale,Tokyo Stock Exchange
"TOKYOTOKEIBA CO.,LTD.",4045 JPY,74Cr,Other Casinos & Gaming,Tokyo Stock Exchange
"NIPPON DENSETSU KOGYO CO., LTD.",1800 JPY,74Cr,Other Construction & Engineering,Tokyo Stock Exchange
"TAKARA STANDARD CO.,LTD.",1571 JPY,73Cr,Kitchen Cabinets,Tokyo Stock Exchange
"NIPPON PAPER INDUSTRIES CO., LTD.",931 JPY,73Cr,Paper Mills & Products,Tokyo Stock Exchange
"SINFONIA TECHNOLOGY CO.,LTD.",3890 JPY,73Cr,Other Heavy Electrical Equipment,Tokyo Stock Exchange
"MOS FOOD SERVICES, INC.",3485 JPY,73Cr,Other Restaurants & Bars,Tokyo Stock Exchange
YOKOGAWA BRIDGE HOLDINGS CORP.,2648 JPY,73Cr,Civil Engineers & Architects,Tokyo Stock Exchange
"THE NANTO BANK, LTD.",3335 JPY,73Cr,Commercial Banks,Tokyo Stock Exchange
"JAFCO GROUP CO., LTD.",1959.5 JPY,73Cr,Other Investment Management & Fund Operators,Tokyo Stock Exchange
"IMPERIAL HOTEL, LTD.",891 JPY,73Cr,"Other Hotels, Motels & Cruise Lines",Tokyo Stock Exchange
UNIVERSAL ENTERTAINMENT CORPORATION,1374 JPY,73Cr,Resort Operators,Tokyo Stock Exchange
"BML, INC.",2730 JPY,73Cr,Medical & Diagnostic Laboratories,Tokyo Stock Exchange
"KOHNAN SHOJI CO., LTD.",3695 JPY,73Cr,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
ARGO GRAPHICS INC.,5010 JPY,73Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
AOKI HOLDINGS INC.,1263 JPY,72Cr,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
"THE AWA BANK, LTD.",2595 JPY,72Cr,Commercial Banks,Tokyo Stock Exchange
"AEON KYUSHU CO., LTD.",3120 JPY,72Cr,Retail - Department Stores,Tokyo Stock Exchange
GLOBAL ONE REAL ESTATE INVESTMENT CORP.,102600 JPY,72Cr,Office REITs,Tokyo Stock Exchange
"SAKAI MOVING SERVICE CO.,LTD.",2584 JPY,72Cr,Freight Trucking,Tokyo Stock Exchange
"SANYO SPECIAL STEEL CO., LTD.",1901 JPY,72Cr,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"SENSHU IKEDA HOLDINGS, INC.",369 JPY,72Cr,Other Banks,Tokyo Stock Exchange
PILLAR CORPORATION,4365 JPY,72Cr,Industrial Parts & Components,Tokyo Stock Exchange
SHIBAURA MECHATRONICS CORPORATION,8320 JPY,72Cr,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
HIDAY HIDAKA CORP.,2764 JPY,72Cr,Other Restaurants & Bars,Tokyo Stock Exchange
HIOKI E.E. CORPORATION,8000 JPY,72Cr,Electrical Measuring & Testing Instruments,Tokyo Stock Exchange
NITTA CORPORATION,3720 JPY,71Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
ROLAND CORPORATION,3770 JPY,71Cr,Musical Instruments,Tokyo Stock Exchange
SHIBUYA CORPORATION,3595 JPY,71Cr,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"MAEDA KOSEN CO., LTD.",1566 JPY,71Cr,Other Construction Materials,Tokyo Stock Exchange
"MITSUI DM SUGAR HOLDINGS CO., LTD.",3195 JPY,71Cr,Sugar & Artificial Sweeteners,Tokyo Stock Exchange
COVER CORPORATION,1647 JPY,71Cr,Other Entertainment Production,Tokyo Stock Exchange
"MATSUYA FOODS HOLDINGS CO., LTD.",5460 JPY,709M,Quick Service Restaurants,Tokyo Stock Exchange
NICHIDEN CORPORATION,3450 JPY,709M,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
ISE CHEMICALS CORPORATION,19230 JPY,704M,Other Commodity Chemicals,Tokyo Stock Exchange
HOSIDEN CORPORATION,2013 JPY,704M,Electronic Component,Tokyo Stock Exchange
"FURUYA METAL CO., LTD.",4100 JPY,699M,Other Precious Metals & Minerals,Tokyo Stock Exchange
"MEDLEY, INC.",3340 JPY,698M,Online Job Portals,Tokyo Stock Exchange
FUNAI SOKEN HOLDINGS INCORPORATED,2251 JPY,697M,Management Consulting Services,Tokyo Stock Exchange
"MENICON CO., LTD.",1356 JPY,697M,"Glasses, Spectacles & Contact Lenses",Tokyo Stock Exchange
"TAIHEI DENGYO KAISHA, LTD.",5040 JPY,696M,Other Construction & Engineering,Tokyo Stock Exchange
SINKO INDUSTRIES LTD.,4145 JPY,695M,"Heating, Ventilation & Air Conditioning Systems",Tokyo Stock Exchange
EN-JAPAN INC.,2483 JPY,694M,Online Job Portals,Tokyo Stock Exchange
"KYOKUTO KAIHATSU KOGYO CO.,LTD.",2640 JPY,694M,Heavy Trucks,Tokyo Stock Exchange
"NIPPON LIGHT METAL HOLDINGS COMPANY, LTD.",1606 JPY,693M,Other Aluminum,Tokyo Stock Exchange
"SBS HOLDINGS, INC.",2550 JPY,692M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"TAKAMATSU CONSTRUCTION GROUP CO., LTD.",2873 JPY,692M,Other Construction & Engineering,Tokyo Stock Exchange
"MAXVALU TOKAI CO.,LTD.",3135 JPY,689M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"RAITO KOGYO CO., LTD.",2106 JPY,687M,Highway & Bridge Construction,Tokyo Stock Exchange
"KEEPER TECHNICAL LABORATORY CO., LTD.",3785 JPY,687M,Other Personal Services,Tokyo Stock Exchange
YURTEC CORPORATION,1410 JPY,686M,Other Construction & Engineering,Tokyo Stock Exchange
"THE MUSASHINO BANK, LTD.",2959 JPY,684M,Commercial Banks,Tokyo Stock Exchange
"THE KEIYO BANK, LTD.",794 JPY,683M,Commercial Banks,Tokyo Stock Exchange
TV TOKYO HOLDINGS CORPORATION,3680 JPY,682M,Television Broadcasting,Tokyo Stock Exchange
"NIHON HOUSING CO.,LTD.",1539 JPY,681M,Residential Real Estate Services,Tokyo Stock Exchange
"MITSUUROKO GROUP HOLDINGS CO.,LTD.",1724 JPY,680M,Petroleum Product Wholesale,Tokyo Stock Exchange
"MITANI SEKISAN CO., LTD.",5500 JPY,679M,Other Construction Materials,Tokyo Stock Exchange
ES-CON JAPAN LTD.,1037 JPY,678M,Other Real Estate Development & Operations,Tokyo Stock Exchange
"SHOWA SANGYO CO., LTD.",3050 JPY,675M,Flour Milling,Tokyo Stock Exchange
"MILBON CO., LTD.",3042 JPY,673M,Other Personal Products,Tokyo Stock Exchange
TOTECH CORPORATION,2376 JPY,673M,Electric Equipment Wholesale,Tokyo Stock Exchange
UNION TOOL CO.,5570 JPY,670M,Machine Tools,Tokyo Stock Exchange
"MARUZEN SHOWA UNYU CO., LTD.",4835 JPY,670M,Integrated Logistics Operators,Tokyo Stock Exchange
ZOJIRUSHI CORPORATION,1507 JPY,670M,Household Appliances,Tokyo Stock Exchange
"ZERIA PHARMACEUTICAL CO., LTD.",2247 JPY,669M,Generic Pharmaceuticals,Tokyo Stock Exchange
"NIPPON KANZAI HOLDINGS CO.,LTD.",2580 JPY,665M,Other Real Estate Services,Tokyo Stock Exchange
"MIYAKOSHI HOLDINGS, INC.",2487 JPY,662M,Other Real Estate Development & Operations,Tokyo Stock Exchange
"TORII PHARMACEUTICAL CO., LTD.",3455 JPY,661M,Other Pharmaceuticals,Tokyo Stock Exchange
"KANAMOTO CO.,LTD.",2726 JPY,657M,Commercial Equipment Rental,Tokyo Stock Exchange
"NISSHA CO., LTD.",1985 JPY,657M,Electronic Component,Tokyo Stock Exchange
KITZ CORPORATION,1049 JPY,655M,Industrial Valve Manufacturing,Tokyo Stock Exchange
"LIFEDRINK COMPANY, INC.",7600 JPY,655M,Other Non-Alcoholic Beverages,Tokyo Stock Exchange
"DOUTOR NICHIRES HOLDINGS CO., LTD.",2203 JPY,65Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"HAKUTO CO., LTD.",5010 JPY,65Cr,Semiconductor Wholesale,Tokyo Stock Exchange
"GOLDCREST CO.,LTD.",2894 JPY,65Cr,Residential Real Estate Development,Tokyo Stock Exchange
TOPRE CORPORATION,1864 JPY,65Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"WACOM CO., LTD.",684 JPY,65Cr,Tablet & Netbook Computers,Tokyo Stock Exchange
WINGARC1ST INC.,2793 JPY,65Cr,Enterprise Software,Tokyo Stock Exchange
"CRE LOGISTICS REIT, INC.",150900 JPY,65Cr,Industrial REITs,Tokyo Stock Exchange
YAMABIKO CORPORATION,2335 JPY,65Cr,Agricultural Machinery,Tokyo Stock Exchange
"KYORIN PHARMACEUTICAL CO., LTD.",1621 JPY,65Cr,Other Pharmaceuticals,Tokyo Stock Exchange
WEST HOLDINGS CORPORATION,2443 JPY,64Cr,Electric Construction,Tokyo Stock Exchange
"CHUGOKU MARINE PAINTS, LTD.",1887 JPY,64Cr,Paint & Coating,Tokyo Stock Exchange
"NOMURA CO., LTD.",849 JPY,64Cr,Other Business Support Services,Tokyo Stock Exchange
PRESTIGE INTERNATIONAL INC.,735 JPY,64Cr,Other Business Support Services,Tokyo Stock Exchange
RAIZNEXT CORPORATION,1740 JPY,64Cr,Other Construction & Engineering,Tokyo Stock Exchange
GNI GROUP LTD.,1829 JPY,64Cr,Other Biotechnology & Medical Research,Tokyo Stock Exchange
JTOWER INC.,3590 JPY,63Cr,Telecommunication Construction,Tokyo Stock Exchange
"RAYSUM CO., LTD.",3170 JPY,63Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"KUMIAI CHEMICAL INDUSTRY CO., LTD.",766 JPY,63Cr,Pesticide,Tokyo Stock Exchange
"HOGY MEDICAL CO.,LTD.",4270 JPY,63Cr,Medical Supplies,Tokyo Stock Exchange
"HALOWS CO.,LTD.",4340 JPY,63Cr,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"KAMEDA SEIKA CO.,LTD.",4350 JPY,63Cr,"Cookie, Cracker & Pasta Manufacturing",Tokyo Stock Exchange
SHOFU INC.,5160 JPY,63Cr,Medical Supplies,Tokyo Stock Exchange
PKSHA TECHNOLOGY INC.,2998 JPY,63Cr,Application Software,Tokyo Stock Exchange
CENTRAL AUTOMOTIVE PRODUCTS LTD.,4940 JPY,63Cr,Auto & Truck Parts Wholesale,Tokyo Stock Exchange
JCU CORPORATION,3640 JPY,62Cr,Other Specialty Chemicals,Tokyo Stock Exchange
K&O ENERGY GROUP INC.,3325 JPY,62Cr,Natural Gas Exploration & Production - Onshore,Tokyo Stock Exchange
TAKASAGO INTERNATIONAL CORPORATION,4640 JPY,62Cr,Other Commodity Chemicals,Tokyo Stock Exchange
SHIKOKU KASEI HOLDINGS CORPORATION,2018 JPY,62Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"THE JAPAN WOOL TEXTILE CO., LTD.",1323 JPY,62Cr,Yarn Goods,Tokyo Stock Exchange
EIZO CORPORATION,4455 JPY,62Cr,Computer Peripherals,Tokyo Stock Exchange
"OSAKA TITANIUM TECHNOLOGIES CO.,LTD.",2422 JPY,62Cr,Other Specialty Mining & Metals,Tokyo Stock Exchange
"HANKYU HANSHIN REIT, INC.",129600 JPY,62Cr,Other Commercial REITs,Tokyo Stock Exchange
"EAGLE INDUSTRY CO.,LTD.",1976 JPY,62Cr,Industrial Parts & Components,Tokyo Stock Exchange
CANON ELECTRONICS INC.,2218 JPY,62Cr,Electronic Component,Tokyo Stock Exchange
"TSURUMI MANUFACTURING CO.,LTD.",3710 JPY,62Cr,Pump & Pumping Equipment,Tokyo Stock Exchange
"SANYO DENKI CO., LTD.",7590 JPY,62Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"RS TECHNOLOGIES CO., LTD.",3480 JPY,62Cr,Other Semiconductors,Tokyo Stock Exchange
"CHANGE HOLDINGS,INC.",1371 JPY,62Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"RENOVA, INC.",1000 JPY,62Cr,Other Electric Utilities,Tokyo Stock Exchange
TOENEC CORPORATION,4785 JPY,62Cr,Other Construction & Engineering,Tokyo Stock Exchange
PASONA GROUP INC.,2271 JPY,615M,Other Employment Services,Tokyo Stock Exchange
"ITOCHU-SHOKUHIN CO., LTD.",7060 JPY,614M,Food Wholesale,Tokyo Stock Exchange
"SENSHU ELECTRIC CO.,LTD.",5070 JPY,614M,Electric Equipment Wholesale,Tokyo Stock Exchange
"SANYO CHEMICAL INDUSTRIES, LTD.",4085 JPY,613M,Other Commodity Chemicals,Tokyo Stock Exchange
"OKI ELECTRIC INDUSTRY CO., LTD.",1018 JPY,609M,Other Communications & Networking,Tokyo Stock Exchange
TECHMATRIX CORPORATION,2351 JPY,608M,Other IT Services & Consulting,Tokyo Stock Exchange
GUNZE LIMITED,5280 JPY,608M,Other Apparel & Accessories,Tokyo Stock Exchange
ADVANCE LOGISTICS INVESTMENT CORPORATION,130000 JPY,607M,Industrial REITs,Tokyo Stock Exchange
"SEPTENI HOLDINGS CO., LTD.",437 JPY,606M,Other Advertising & Marketing,Tokyo Stock Exchange
"SUN FRONTIER FUDOUSAN CO., LTD.",1833 JPY,605M,Retail Real Estate Development,Tokyo Stock Exchange
"AISAN INDUSTRY CO., LTD.",1388 JPY,604M,Engine & Powertrain Systems,Tokyo Stock Exchange
"KINTETSU DEPARTMENT STORE CO., LTD.",2196 JPY,603M,Retail - Department Stores,Tokyo Stock Exchange
"KAPPA CREATE CO., LTD.",1796 JPY,599M,Quick Service Restaurants,Tokyo Stock Exchange
"SHINMAYWA INDUSTRIES, LTD.",1333 JPY,599M,Other Heavy Machinery & Vehicles,Tokyo Stock Exchange
"SHIBAURA MACHINE CO.,LTD.",3680 JPY,599M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
RESTAR CORPORATION,2886 JPY,597M,Other Semiconductors,Tokyo Stock Exchange
"CENTRAL GLASS CO., LTD.",3500 JPY,597M,Diversified Chemicals,Tokyo Stock Exchange
SANTEC HOLDINGS CORPORATION,7130 JPY,595M,Other Electronic Equipment & Parts,Tokyo Stock Exchange
NORITZ CORPORATION,1888 JPY,594M,"Other Appliances, Tools & Housewares",Tokyo Stock Exchange
TOHOKUSHINSHA FILM CORPORATION,642 JPY,594M,Advertising Agency,Tokyo Stock Exchange
"TOYOBO CO., LTD.",980 JPY,593M,Other Commodity Chemicals,Tokyo Stock Exchange
SHINNIHON CORPORATION,1520 JPY,593M,Other Construction & Engineering,Tokyo Stock Exchange
SAMTY RESIDENTIAL INVESTMENT CORPORATION,102500 JPY,592M,Residential REITs,Tokyo Stock Exchange
AXIAL RETAILING INC.,961 JPY,590M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"HAMAKYOREX CO., LTD.",4585 JPY,586M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"PREMIUM WATER HOLDINGS,INC.",2943 JPY,584M,Bottled Water & Ice,Tokyo Stock Exchange
"SOSILA LOGISTICS REIT, INC.",116600 JPY,583M,Industrial REITs,Tokyo Stock Exchange
C.I.TAKIRON CORPORATION,869 JPY,582M,Plastics,Tokyo Stock Exchange
"THE OGAKI KYORITSU BANK, LTD.",2007 JPY,582M,Commercial Banks,Tokyo Stock Exchange
"CHORI CO., LTD.",3445 JPY,581M,Commodity Chemicals Wholesale,Tokyo Stock Exchange
"DYDO GROUP HOLDINGS, INC.",2709 JPY,581M,Other Non-Alcoholic Beverages,Tokyo Stock Exchange
MIRAI CORPORATION,44300 JPY,581M,Office REITs,Tokyo Stock Exchange
"TOHO TITANIUM CO., LTD.",1165 JPY,579M,Nonferrous Metal Processing,Tokyo Stock Exchange
AICHI CORPORATION,1122 JPY,577M,Construction Machinery,Tokyo Stock Exchange
S FOODS INC.,2677 JPY,576M,Ready-Made Meals,Tokyo Stock Exchange
"OKAMOTO INDUSTRIES, INC.",5030 JPY,575M,Other Commodity Chemicals,Tokyo Stock Exchange
"PIOLAX, INC.",2350 JPY,575M,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"THE FIRST BANK OF TOYAMA, LTD.",1293 JPY,574M,Other Banks,Tokyo Stock Exchange
"KOHOKU KOGYO CO.,LTD.",3070 JPY,572M,Electronic Component,Tokyo Stock Exchange
NEC CAPITAL SOLUTIONS LIMITED,3860 JPY,572M,Commercial Leasing,Tokyo Stock Exchange
"ALPEN CO.,LTD.",2185 JPY,57Cr,Sporting Goods Stores,Tokyo Stock Exchange
HAPPINET CORPORATION,3840 JPY,57Cr,Toys & Juvenile Products Wholesale,Tokyo Stock Exchange
"BAUDROIE,INC.",5220 JPY,57Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"SHIN NIPPON AIR TECHNOLOGIES CO., LTD.",3605 JPY,57Cr,Other Construction & Engineering,Tokyo Stock Exchange
KURABO INDUSTRIES LTD.,4655 JPY,57Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
TRE HOLDINGS CORPORATION,1601 JPY,56Cr,Other Environmental Services & Equipment,Tokyo Stock Exchange
"JAPAN EYEWEAR HOLDINGS CO., LTD.",3375 JPY,56Cr,"Glasses, Spectacles & Contact Lenses",Tokyo Stock Exchange
"SHIZUOKA GAS CO., LTD.",1086 JPY,55Cr,Other Natural Gas Utilities,Tokyo Stock Exchange
SHOEI FOODS CORPORATION,4815 JPY,55Cr,Other Food Processing,Tokyo Stock Exchange
"PACIFIC INDUSTRIAL CO., LTD.",1390 JPY,55Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"OPTORUN CO.,LTD.",1838 JPY,55Cr,Other Electronic Equipment & Parts,Tokyo Stock Exchange
SAKATA INX CORPORATION,1598 JPY,55Cr,Coloring Agent,Tokyo Stock Exchange
"NAGAILEBEN CO., LTD.",2566 JPY,55Cr,Medical Supplies,Tokyo Stock Exchange
"SUNWELS CO.,LTD.",2600 JPY,55Cr,Other Healthcare Facilities & Services,Tokyo Stock Exchange
"MATSUDA SANGYO CO., LTD.",3075 JPY,54Cr,"Waste Management, Disposal & Recycling Services",Tokyo Stock Exchange
ASAHI YUKIZAI CORPORATION,4175 JPY,54Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"THE HYAKUJUSHI BANK, LTD.",2753 JPY,54Cr,Commercial Banks,Tokyo Stock Exchange
"RIKEN VITAMIN CO., LTD.",2605 JPY,54Cr,Other Food Processing,Tokyo Stock Exchange
"JAPAN LIFELINE CO., LTD.",1127 JPY,54Cr,Medical Devices & Implants,Tokyo Stock Exchange
MORITA HOLDINGS CORPORATION,1814 JPY,54Cr,Heavy Trucks,Tokyo Stock Exchange
"INSOURCE CO., LTD.",960 JPY,54Cr,Professional & Business Education,Tokyo Stock Exchange
"WAKITA & CO.,LTD.",1595 JPY,54Cr,Heavy Machinery & Vehicles Wholesale,Tokyo Stock Exchange
"KONISHI CO., LTD.",1156 JPY,54Cr,Other Commodity Chemicals,Tokyo Stock Exchange
IDEC CORPORATION,2654 JPY,54Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"KOJIMA CO.,LTD.",1009 JPY,54Cr,Consumer Electronics Retailers,Tokyo Stock Exchange
"FUJIMORI KOGYO CO., LTD.",4270 JPY,54Cr,Plastic Containers & Packaging,Tokyo Stock Exchange
"EIKEN CHEMICAL CO., LTD.",2284 JPY,54Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"TOKYU CONSTRUCTION CO., LTD.",735 JPY,53Cr,Other Construction & Engineering,Tokyo Stock Exchange
JAPAN PULP AND PAPER COMPANY LIMITED,6220 JPY,53Cr,Paper Product Wholesale,Tokyo Stock Exchange
"GREE, INC.",452 JPY,53Cr,Social Media & Networking,Tokyo Stock Exchange
"CYBOZU, INC.",1671 JPY,53Cr,Enterprise Software,Tokyo Stock Exchange
MEGACHIPS CORPORATION,4570 JPY,53Cr,Integrated Circuits,Tokyo Stock Exchange
"SHINAGAWA REFRACTORIES CO., LTD.",1708 JPY,53Cr,Other Construction Materials,Tokyo Stock Exchange
ANYMIND GROUP INC.,1297 JPY,53Cr,Marketing Consulting Services,Tokyo Stock Exchange
CHIYODA CORPORATION,295 JPY,53Cr,Other Construction & Engineering,Tokyo Stock Exchange
"KH NEOCHEM CO., LTD.",2095 JPY,53Cr,Other Commodity Chemicals,Tokyo Stock Exchange
SEKISUI JUSHI CORPORATION,2416 JPY,53Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"JM HOLDINGS CO.,LTD.",2888 JPY,53Cr,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"TOUKEI COMPUTER CO., LTD.",4290 JPY,53Cr,Other Software,Tokyo Stock Exchange
"KEIHANSHIN BUILDING CO., LTD.",1598 JPY,53Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"TOMONY HOLDINGS, INC.",396 JPY,526M,Other Banks,Tokyo Stock Exchange
"HIBIYA ENGINEERING, LTD.",3350 JPY,525M,Other Construction & Engineering,Tokyo Stock Exchange
"TPR CO., LTD.",2251 JPY,524M,Engine & Powertrain Systems,Tokyo Stock Exchange
"METAWATER CO., LTD.",1734 JPY,524M,Water & Sewage Construction,Tokyo Stock Exchange
ENPLAS CORPORATION,8310 JPY,523M,Other Semiconductors,Tokyo Stock Exchange
"KOSHIDAKA HOLDINGS CO., LTD.",941 JPY,522M,Other Leisure & Recreation,Tokyo Stock Exchange
"BENGO4.COM,INC.",3610 JPY,522M,Other Internet Services,Tokyo Stock Exchange
"JCR PHARMACEUTICALS CO., LTD.",622 JPY,521M,Other Pharmaceuticals,Tokyo Stock Exchange
ZUKEN INC.,3450 JPY,521M,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
KYOEI STEEL LTD.,1751 JPY,519M,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"BANDO CHEMICAL INDUSTRIES, LTD.",1778 JPY,519M,Industrial Parts & Components,Tokyo Stock Exchange
TAKARA LEBEN REAL ESTATE INVESTMENT CORPORATION,97000 JPY,519M,Diversified REITs,Tokyo Stock Exchange
KROSAKI HARIMA CORPORATION,2210 JPY,518M,Other Construction Materials,Tokyo Stock Exchange
"TORISHIMA PUMP MFG. CO., LTD.",2855 JPY,517M,Pump & Pumping Equipment,Tokyo Stock Exchange
MEC COMPANY LTD.,4145 JPY,515M,Other Specialty Chemicals,Tokyo Stock Exchange
"DOSHISHA CO.,LTD.",2179 JPY,513M,"Other Appliances, Tools & Housewares",Tokyo Stock Exchange
"AIZAWA SECURITIES GROUP CO., LTD.",2382 JPY,512M,Brokerage Services,Tokyo Stock Exchange
"COLOPL, INC.",578 JPY,510M,Internet Gaming,Tokyo Stock Exchange
"NISSEI ASB MACHINE CO., LTD.",4945 JPY,509M,Industrial Machinery,Tokyo Stock Exchange
TOKAI CORP.,2206 JPY,506M,Other Business Support Services,Tokyo Stock Exchange
"GMO FINANCIAL HOLDINGS, INC.",626 JPY,506M,Other Investment Banking & Brokerage Services,Tokyo Stock Exchange
"DAIICHI JITSUGYO CO., LTD.",2384 JPY,505M,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"STRIKE COMPANY,LIMITED",3845 JPY,505M,Management Consulting Services,Tokyo Stock Exchange
"PREMIUM GROUP CO., LTD.",1934 JPY,504M,Consumer Credit Cards Services,Tokyo Stock Exchange
WEALTHNAVI INC.,1284 JPY,504M,Financial Technology (Fintech) (NEC),Tokyo Stock Exchange
