Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
WUHAN ZHONGYUAN HU,4.78,10.454M,2.318B,Electronic technology
CHENGDU GUIBAO SCI,10.37,4.24M,4.182B,Process industries
ENJOYOR TECHNOLOGY,1.91,38.6M,1.271B,Technology services
DAYU WATER-SAVING,3.1,20.615M,2.809B,Industrial services
GIFORE AGRICULTURA,3.43,3.325M,1.74B,Distribution services
SIASUN ROBOT & AUT,9.17,17.363M,15.13B,Producer manufacturing
HANGZHOU HUAXING C,8.62,3.553M,4.386B,Electronic technology
TIANJIN CHASE SUN,3.19,26.105M,10.547B,Health technology
HUAYI BROTHERS MED,2.3,532.081M,7.34B,Consumer services
JIANGSU HUASHENGTI,4.04,4.746M,800.021M,Producer manufacturing
IMPROVE MEDICAL IN,3.91,6.059M,1.243B,Health technology
WUXI BOTON TECHNOL,14.41,16.189M,6.059B,Technology services
JINLONG MACHINERY&,3.46,44.373M,2.723B,Electronic technology
HITHINK ROYALFLUSH,95.61,6.172M,53.765B,Technology services
GAONA AERO MATERIA,13.74,6.797M,10.576B,Producer manufacturing
HUNAN ZHONGKE ELEC,7.66,4.892M,5.194B,Electronic technology
BEIJING SUPERMAP S,13.1,7.899M,6.623B,Technology services
SHENZHEN CAPCHEM T,31.12,4.322M,23.84B,Process industries
SHANGHAI KAIBAO PH,5.33,7.443M,5.65B,Health technology
HARBIN JIUZHOU GRO,5,26.622M,2.937B,Producer manufacturing
HUBEI HUITIAN NEW,7.67,13.617M,4.224B,Process industries
NETAC TECHNOLOGY C,17.26,9.361M,3.673B,Electronic technology
RASTAR GROUP,2.36,41.39M,3.061B,Technology services
SHENZHEN SUNWIN IN,4.1,22.374M,3.177B,Technology services
HWA CREATE CORPORA,16.01,13.537M,10.788B,Electronic technology
TECH SEMICONDUCTOR,15.94,17.372M,3.787B,Electronic technology
SHENZHEN TIANYUAN,6.64,23.844M,4.159B,Technology services
HICONICS ECO-ENERG,4.31,3.872M,4.826B,Producer manufacturing
INNER MONGOLIA FUR,42.8,1.898M,11.18B,Health technology
DINGLI CORP LTD,5.32,224.067M,2.698B,Distribution services
LEASCEND TECH CO,6.07,3.78M,2.274B,Technology services
SZ ZHONGQINGBAO IN,10.26,5.386M,2.746B,Technology services
ZHUHAI AEROSPACE M,10.46,76.528M,6.832B,Electronic technology
HUBEI DINGLONG CO,19.2,7.49M,18.451B,Electronic technology
BEIJING WATER BUSI,3.89,6.187M,3.107B,Process industries
XIAMEN ZHONGCHUANG,7.3,14.42M,3.115B,Non-energy minerals
SHANTOU WANSHUN NE,3.9,12.172M,3.522B,Process industries
BLUEFOCUS INTELLIG,5.1,80.425M,12.773B,Commercial services
EAST MONEY INFORMA,10.19,169.116M,165.316B,Technology services
QITIAN TECHNOLOGY,7.16,164.588M,4.923B,Commercial services
CEEPOWER CO LTD,4.81,7.187M,2.738B,Producer manufacturing
GUANGDONG TLOONG T,4.4,143.397M,3.001B,Process industries
BEIJING HIGHLANDER,5.97,8.33M,4.364B,Electronic technology
SANCHUAN WISDOM TE,3.09,20.397M,3.359B,Producer manufacturing
SHANGHAI ANOKY GRO,3.1,29.118M,3.566B,Process industries
ZHEJIANG NARADA PO,7.41,18.426M,6.801B,Producer manufacturing
JINLIHUA ELECTRIC,11.6,10.622M,1.279B,Producer manufacturing
BEIJING ORIGINWATE,3.93,19.388M,14.453B,Producer manufacturing
FS DEVELOPMENT INV,2.25,16.805M,2.169B,Commercial services
BEIJING HAIXIN ENE,1.88,18.757M,4.586B,Process industries
BEIJING EASPRING M,30.2,39.389M,15.359B,Process industries
AVCON INFORMATION,3.15,11.374M,1.711B,Electronic technology
BEIJING EGOVA CO L,12.05,8.966M,7.727B,Technology services
NINGBO GQY VIDEO &,3.77,63.745M,1.535B,Producer manufacturing
NATIONS TECHNOLOGI,9.27,14.175M,5.223B,Electronic technology
HANGZHOU CENTURY C,2.45,59.434M,2.364B,Technology services
SUMAVISION TECHNOL,4.27,78.057M,6.417B,Electronic technology
HENAN YICHENG NEW,2.73,13.374M,5.245B,Electronic technology
HENGXIN SHAMBALA C,5.1,108.653M,2.239B,Technology services
LIAO NING OXIRANCH,4.54,16.035M,3.264B,Process industries
GUANGDONG CREATE C,5.91,46.414M,11.185B,Electronic technology
HAIMO TECHNOLOGIES,4.93,1.232M,1.957B,Industrial services
SHENZHEN INFOGEM T,8.02,11.239M,5.915B,Technology services
HONZ PHARMACEUTICA,3.67,5.015M,1.67B,Health technology
WINALL HI-TECH SEE,5.9,5.76M,5.206B,Process industries
WUHU TOKEN SCIENCE,4.33,37.187M,10.929B,Electronic technology
JIN TONGLING TECHN,1.4,29.402M,2.13B,Producer manufacturing
S/C KEXIN MECH&ELE,9.17,14.222M,2.286B,Producer manufacturing
GANSU JINGANG SOLA,10.32,8.241M,2.292B,Consumer durables
Z/J GUOLIAN AQUATI,2.76,66.616M,2.989B,Process industries
JIANGXI HUAWU BRAK,5.39,3.155M,2.319B,Producer manufacturing
YLZ INFORMATION TE,2.53,25.93M,1.028B,Technology services
DALIAN ZHIYUN AUTO,5.57,11.902M,1.671B,Producer manufacturing
GOSUNCN TECHNOLOGY,3.99,49.138M,6.763B,Electronic technology
UROICA PRECISION I,4.47,13.121M,3.391B,Electronic technology
NINGBO SHUANGLIN,12.11,16.112M,5.074B,Producer manufacturing
CHENGDU CORPRO TEC,12.88,4.997M,7.327B,Electronic technology
XIAMEN CHANGELIGHT,6.31,54.521M,5.575B,Electronic technology
DAGANG HOLDING GRO,4.53,8.457M,1.486B,Producer manufacturing
YANTAI LONGYUAN PO,5.65,35.218M,2.746B,Producer manufacturing
XINJIANG WESTERN,5.83,9.633M,1.219B,Consumer non-durables
HEBEI JIANXIN CHEM,8.19,19.661M,4.634B,Process industries
JI YAO HOLDING GRO,1.94,25.207M,1.346B,Process industries
NKY MEDICAL HOLDIN,10.78,2.573M,5.041B,Process industries
HUAREN PHARMACEUTI,3.16,23.7M,3.807B,Health technology
ZHEJIANG SUNFLOWER,2.2,33.265M,2.986B,Producer manufacturing
SHENZHEN MAXONIC,6.77,5.767M,2.17B,Electronic technology
HANGZHOU SHUNWANG,10.67,36.442M,7.55B,Technology services
ZHONGHANG ELECTRON,41.45,4.676M,24.498B,Electronic technology
SHENZHEN EVERWIN P,10.63,28.428M,14.722B,Electronic technology
JIAYU HOLDING CO L,1.68,25.753M,1.168B,Producer manufacturing
RISEN ENERGY CO LT,9.68,26.178M,11.272B,Electronic technology
TIANJIN RINGPU BIO,12.44,1.755M,5.823B,Health technology
TIANJIN JINGWEI HU,5.3,63.662M,2.595B,Producer manufacturing
SHANDONG YANGGU HU,6.99,1.783M,2.844B,Process industries
CHONGQING ZHIFEI B,22.52,14.997M,54.84B,Health technology
YAGUANG TECHNOLOGY,4.44,18.16M,4.629B,Electronic technology
SHENZHEN INOVANCE,40.05,17.696M,106.644B,Producer manufacturing
LINGDA GROUP CO LT,4.14,60.348M,1.116B,Electronic technology
KEN HOLDING CO LTD,4.41,3.253M,1.389B,Consumer durables
CHENGDU GALAXY MAG,13.4,1.142M,4.408B,Electronic technology
SUZHOU JINFU TECHN,3.27,19.365M,4.235B,Electronic technology
SHANGHAI TAISHENG,6.3,7.656M,5.927B,Non-energy minerals
XGD INC,15.15,29.515M,8.569B,Electronic technology
SHENZHEN YITOA INT,4.83,78.795M,5.642B,Distribution services
FUJIAN GREEN PINE,3.51,4.2M,1.844B,Process industries
ZHEJIANG HUACE FIL,5.11,50.912M,10.038B,Consumer services
ANHUI TATFOOK TECH,6.83,17.943M,5.205B,Electronic technology
JIANGSU BAOLI INTE,2.51,12.578M,2.369B,Non-energy minerals
SHENZHEN SUNWAY CO,17.76,26.393M,17.648B,Electronic technology
HEBEI SAILHERO ENV,4.01,8.208M,2.109B,Electronic technology
CHENGUANG BIOTECH,7.2,2.481M,3.728B,Consumer non-durables
BEIJING XIAOCHENG,12.86,42.989M,3.718B,Non-energy minerals
CECEP ENVIRONMENTA,4.51,7.151M,14.287B,Producer manufacturing
SUZHOU INDSTRL PRK,7.84,6.254M,1.439B,Producer manufacturing
WALVAX BIOTECHNOLO,10.15,13.648M,16.7B,Health technology
INKON LIFE TECHNOL,7.07,2.559M,3.923B,Health technology
SONGCHENG PERFORMA,7.46,22.929M,20.07B,Consumer services
NANFANG ZHONGJIN E,2.33,13.167M,4.512B,Producer manufacturing
BY-HEALTH CO LTD,10.78,8.648M,18.607B,Health technology
XIANGXUE PHARMACEU,8.03,169.246M,5.268B,Health technology
TANGEL PUBLISHING,2.6,80.414M,2.247B,Technology services
CHEMPARTNER PHARMA,4.53,13.466M,2.296B,Commercial services
BEIJING CENTURY RE,2.62,33.183M,1.597B,Technology services
SHENZHEN C/H TECHN,14.18,2.585M,7.694B,Process industries
XIONG'AN NEW POWER,1.76,15.701M,1.276B,Producer manufacturing
SHANGHAI COOLTECH,5.46,5.213M,1.776B,Producer manufacturing
SHENZHEN RILAND IN,5,3.17M,2.269B,Producer manufacturing
GUANGDONG ANJUBAO,3.35,16.65M,1.976B,Electronic technology
NEW JCM GROUP CO L,2.07,24.506M,1.538B,Technology services
SHANXI ZHENDONG PH,3.96,14.053M,4.095B,Health technology
XINJIANG MACHINERY,2.15,61.768M,3.198B,Producer manufacturing
JIANGSU XIUQIANG G,4.28,4.393M,3.296B,Process industries
WUHAN HUAZHONG NUM,21.35,1.937M,4.296B,Producer manufacturing
LEDMAN OPTOELECTRO,5.8,33.239M,2.567B,Producer manufacturing
NINGBO XIANFENG NE,1.41,24.234M,654.12M,Process industries
TONG PETROTECH COR,3.45,19.496M,1.726B,Energy minerals
JIANGSU SKYRAY INS,2.59,27.244M,1.333B,Electronic technology
BUSINESS-INTELLIGE,5.88,14.282M,6.878B,Technology services
SHENZHEN DVISION,1.68,13.284M,587.696M,Consumer durables
WONDERS INFORMATIO,4.94,15.357M,6.439B,Technology services
CHANGZHOU TIANSHEN,5.05,27.096M,1.715B,Process industries
HAND ENTERPRISE SO,5.98,18.086M,5.897B,Commercial services
TOFFLON SCIENCE AN,10.29,3.34M,8.041B,Producer manufacturing
CEC ENVIRONMENTAL,4.52,22.489M,3.045B,Producer manufacturing
FUNENG ORIENTAL EQ,3.53,19.017M,2.674B,Producer manufacturing
FUJIAN YUANLI ACTI,12.45,1.478M,4.639B,Process industries
LONTRUE CO LTD,5.25,14.237M,2.505B,Process industries
GUANGDONG PAISHENG,4.74,9.57M,1.827B,Producer manufacturing
GUANGZHOU HI-TARGE,6.19,26.344M,4.653B,Electronic technology
SF DIAMOND CO,6.43,4.138M,3.101B,Producer manufacturing
HUAFON MICROFIBRE,3.87,136.608M,7.117B,Process industries
ZHEJIANG JOLLY PHA,14.78,7.945M,10.345B,Health technology
BEIJING JETSEN TEC,3.64,48.1M,9.935B,Consumer services
QINGDAO EASTSOFT C,12.38,9.397M,5.783B,Electronic technology
WUHAN P&S INFORMAT,7.67,491.997M,9.613B,Distribution services
TONGYU HEAVY INDUS,1.77,18.892M,6.976B,Producer manufacturing
YONKER ENVIRONMENT,4.22,9.345M,2.808B,Industrial services
SDIC INTELLIGENCE,10.22,6.857M,8.988B,Electronic technology
HAINAN SHENNONG SE,2,38.919M,2.14B,Process industries
WELLE ENVIRONMENTA,2.82,3.461M,2.243B,Industrial services
SINO GEOPHYSICAL C,12.43,1.167M,4.058B,Energy minerals
SUZHOU KINGSWOOD E,10.9,32.955M,5.107B,Process industries
SHENZHEN JASIC TEC,7.08,2.369M,3.386B,Producer manufacturing
FUAN PHARMACEUTICA,3.89,15.578M,4.723B,Health technology
MASTERWORK GROUP C,4.07,4.871M,2.208B,Producer manufacturing
JIANGSU CHANGHAI C,9.12,933.4K,3.781B,Producer manufacturing
CECEP TECHAND ECOL,1.32,30.306M,3.944B,Commercial services
FUJIAN NEWCHOICE P,1.29,28.081M,1.372B,Industrial services
HYBIO PHARMACEUTIC,9.01,9.2M,7.722B,Health technology
BEIJING COMENS NEW,6.51,3.595M,2.883B,Process industries
XUZHOU HANDLER SPE,3.07,5.454M,3.279B,Consumer durables
FOCUSED PHOTONICS,11.09,3.901M,4.98B,Producer manufacturing
STAIDSON (BEIJING),6.49,8.046M,3.176B,Health technology
WUHAN TIANYU INFOR,5.56,3.5M,2.404B,Electronic technology
EDAN INSTRUMENTS I,7.94,2.233M,4.627B,Health technology
SUNWODA ELECTRONIC,15.8,24.437M,29.145B,Producer manufacturing
QINGDAO ZHONGZI ZH,1.7,18.982M,1.289B,Producer manufacturing
YOUKESHU TECH CO,3.31,10.674M,1.384B,Retail trade
ANSHAN SENYUAN ROA,6.72,6.788M,3.346B,Producer manufacturing
JIANGSU YITONG HIG,5.47,26.308M,1.608B,Electronic technology
BEIJING E-HUALU IN,14.06,10.81M,10.211B,Technology services
BEIJING JIAXUN FEI,6.05,26.138M,3.506B,Electronic technology
SHANDONG RIKE CHEM,5.03,1.237M,2.333B,Process industries
SUZHOU ELECTRICAL,4.56,12.912M,3.433B,Commercial services
ZHENJIANG DONGFANG,3.44,17.846M,5.276B,Producer manufacturing
ANHUI ANLI MATERIA,13.62,2.503M,2.994B,Consumer non-durables
HONGLI ZHIHUI GROU,5.4,17.247M,4.028B,Electronic technology
WUHAN GOLDEN LASER,6.73,1.595M,1.036B,Electronic technology
GUANGDONG SILVER,4.55,13.7M,2.297B,Process industries
CSG SMART SCIENCE,5.4,7.688M,4.346B,Technology services
INGENIC SEMICONDUC,45.24,5.582M,21.581B,Electronic technology
YANTAI ZHENGHAI MA,8.03,2.708M,6.506B,Non-energy minerals
SHANGHAI KINLITA C,4.9,4.019M,2.278B,Process industries
SHANGHAI GANGLIAN,15.55,6.039M,5.175B,Technology services
SHENZHEN SUNSHINE,4.88,8.021M,2.466B,Technology services
ZHANGJIAGANG FURUI,6.1,35.051M,3.556B,Producer manufacturing
TRS INFORMATION TE,11.03,11.932M,9.081B,Technology services
SHANGHAI YONGLI BE,3.1,4.519M,2.579B,Producer manufacturing
BEIJING TRUST AND,6.97,6.341M,2.85B,Technology services
UNILUMIN GROUP CO,4.94,16.224M,5.556B,Producer manufacturing
SHANDONGJINCHENG P,12.04,6.788M,4.56B,Health technology
ZHEJIANG KAIER NEW,3.65,2.646M,1.77B,Producer manufacturing
SHENZHEN KINGSUN S,7.64,5.45M,1.989B,Technology services
SHANGHAI SINYANG S,30.05,1.914M,9.649B,Process industries
SHANDONG MEICHEN S,1.31,19.507M,1.864B,Producer manufacturing
GUANHAO BIOTECH CO,8.65,2.799M,2.336B,Health technology
BAOTOU DONGBAO BIO,4.53,2.99M,2.707B,Process industries
JIANGSU FEILIKS IN,5.76,12.942M,2.146B,Transportation
SHENZHEN REFOND OP,4.14,164.198M,3.481B,Electronic technology
KAISA JIAYUN TECHN,2.21,64.145M,1.375B,Commercial services
SHANDONG RUIFENG C,7.61,3.593M,2.434B,Process industries
DIAN DIAGNOSTICS G,11.02,10.654M,8.514B,Health services
SHANGHAI DRAGONNET,5.68,9.881M,1.856B,Technology services
GUANGDONG BIOLIGHT,5.87,1.974M,1.577B,Health technology
YOUNGY HEALTH CO L,2.42,7.466M,1.978B,Consumer services
NEWCAPEC ELECTRONI,6.34,3.835M,3.07B,Electronic technology
YIMIKANG TECH GROU,6.35,8.701M,2.821B,Producer manufacturing
HANGZHOU CNCR-IT,11.1,9.644M,2.39B,Electronic technology
BEIJING ENLIGHT ME,6.92,18.277M,20.741B,Consumer services
KINGSIGNAL TECHNOL,6.37,19.623M,4.357B,Electronic technology
WINNING HEALTH TEC,5.15,17.559M,11.22B,Technology services
SHANXI CY PHARMACE,8.03,10.946M,2.101B,Health technology
HEBEI CHANGSHAN BI,9.18,8.473M,8.444B,Health technology
JIANGXI FIRSTAR PA,2.48,226.049M,5.49B,Electronic technology
KAISHAN GROUP CO,8.04,5.278M,7.977B,Producer manufacturing
JIANGSU PACIFIC PR,7.25,4.213M,3.534B,Producer manufacturing
SUNTRONT TECHNOLOG,2.55,9.7M,3.05B,Electronic technology
KUNSHAN KINGLAI HY,16.59,6.406M,9.022B,Producer manufacturing
ABA CHEMICALS CORP,5.31,14.743M,5.454B,Health technology
LONGHUA TECHNOLOGY,5.18,7.494M,4.612B,Producer manufacturing
AVIT LTD,4.51,55.934M,1.965B,Electronic technology
JIANGSU TONGGUANG,6.6,20.09M,3.02B,Producer manufacturing
XINGYUAN ENVIRONME,1.39,16.393M,2.182B,Electronic technology
HUNAN ER-KANG PHAR,2.19,26.129M,4.6B,Health technology
JOYVIO FOOD CO LTD,6.35,442.9K,1.362B,Consumer non-durables
SHENZHEN LIANTRONI,2.85,60.515M,1.614B,Producer manufacturing
JOYWARE ELECTRONIC,5.39,6.186M,1.578B,Electronic technology
BEIJING THUNISOFT,4.4,15.653M,3.779B,Technology services
CANATURE HEALTH TE,4.62,6.159M,3.367B,Producer manufacturing
SUNGROW POWER SUPP,66.61,11.771M,135.968B,Electronic technology
CHONGQING MASSCI,10,4.373M,2.977B,Electronic technology
SANFENG INTELLIGEN,3.53,60.511M,5.079B,Producer manufacturing
HANGZHOU HIRISUN T,6.22,2.476M,2.117B,Technology services
HUACHANGDA INTELLI,3.04,48.187M,4.625B,Producer manufacturing
WUXI HODGEN TECHNO,4.26,10.362M,2.107B,Electronic technology
FUJIAN ZITIAN MEDI,13.82,10.952M,2.259B,Commercial services
GUANGDONG JINMING,4.58,16.478M,1.948B,Producer manufacturing
WENZHOU HONGFENG E,4.59,21.851M,1.976B,Non-energy minerals
JSTI GROUP,6.4,23.664M,8.048B,Industrial services
SHANDONG SINOCERA,15.45,4.406M,15.29B,Producer manufacturing
ACREL CO LTD,16.38,1.918M,3.332B,Electronic technology
BEIJING PHILISENSE,2.21,49.272M,3.265B,Technology services
GUIYANG LONGMASTER,10.4,4.38M,3.629B,Electronic technology
BEIJING LEADMAN BI,3.86,4.88M,2.114B,Health technology
BRINGSPRING SCIENC,8.25,41.115M,5.618B,Technology services
BEIJING BAINATION,3.98,22.023M,3.917B,Consumer services
WUTONG HOLDING GRO,3.35,49.7M,4.522B,Technology services
SHENYANG BLUE SIL,14.17,11.649M,4.945B,Producer manufacturing
CHINA RESOURCES BO,32,1.672M,15.9B,Health technology
EVERYDAY NETWORK,9.2,16.394M,1.851B,Commercial services
LEYARD OPTOELECTRO,4.77,134.001M,11.672B,Producer manufacturing
SINOCARE INC,23.79,1.987M,13.098B,Health technology
FUCHUN TECHNOLOGY,4.14,104.117M,3.138B,Technology services
STRAIT INNOVATION,1.37,36.585M,894.234M,Technology services
SHENZHEN CHANGFANG,1.19,3.959M,948.131M,Electronic technology
TOYOU FEIJI ELECTR,10.03,12.142M,4.839B,Electronic technology
SHENZHEN JUFEI OPT,4.77,17.524M,6.51B,Electronic technology
JIANGSU YUNYI ELEC,5.68,16.553M,5.185B,Producer manufacturing
JIANGSU YUXING FIL,4.67,5.057M,1.729B,Process industries
HANGZHOU EVERFINE,9.08,2.848M,2.438B,Electronic technology
NINGBO CIXING CO,5.23,12.355M,4.31B,Producer manufacturing
ZHONGJI INNOLIGHT,121.39,10.674M,136.976B,Electronic technology
EASTONE CENTURY TE,4.17,115.521M,3.508B,Communications
SURFILTER NETWORK,2.97,18.409M,2.034B,Electronic technology
XINJIANG TIANSH.AH,5.49,3.864M,1.737B,Process industries
NINGBO DAVID MEDIC,9.44,2.282M,2.756B,Health technology
OURPALM CO LTD,4.01,73.055M,11.253B,Technology services
ZHEJIANG JINGSHENG,23.37,16.571M,31.832B,Producer manufacturing
JIAWEI RENEWABLE E,3.17,11.696M,2.698B,Electronic technology
BEIJING BOHUI INN,4.83,17.699M,4.142B,Health technology
SHENZHEN MICROGATE,8.64,28.171M,7.753B,Electronic technology
JIANGYIN HAIDA RUB,6.85,2.969M,4.179B,Producer manufacturing
SHANDONG TONGDA IS,14.59,1.425M,1.28B,Process industries
HUIZHOU SPEED WIRE,9.27,34.233M,4.453B,Electronic technology
BOE HC SEMITEK COR,4.48,42.663M,7.162B,Electronic technology
BEIJING WATERTEK I,2.17,48.147M,3.853B,Technology services
SHANGHAI KINETIC M,3.86,4.731M,2.784B,Health technology
SINO WEALTH ELECTR,18.02,3.69M,6.176B,Electronic technology
DONGGUAN EONTEC CO,5.71,69.404M,3.887B,Producer manufacturing
HAILUN PIANO CO LT,3.99,12.861M,1.052B,Consumer durables
SVG GROUP CO LTD,14.47,5.493M,3.843B,Producer manufacturing
TOP RESOURCE ENERG,4.91,3.126M,4.196B,Utilities
SINOSUN TECHNOLOGY,4.52,15.026M,1.586B,Electronic technology
TIANJIN MOTIMO MEM,4.84,8.605M,1.544B,Producer manufacturing
GUANGZHOU DEVOTION,3.86,8.781M,1.812B,Utilities
YINBANG CLAD MATER,7.48,40.435M,6.14B,Non-energy minerals
KAIYUAN EDUCATION,2.02,21.565M,740.677M,Process industries
JIANGSU HOPERUN SO,19.58,37.414M,15.06B,Technology services
JIANGMEN KANHOO IN,6.85,7.485M,1.979B,Process industries
MOTIC (XIAMEN) ELE,7.93,2.401M,4.17B,Producer manufacturing
CHANGSHU TIANYIN E,13.28,43.08M,5.409B,Electronic technology
LECRON INDUSTRIAL,4.31,11.239M,4.635B,Commercial services
CUBIC DIGITAL TECH,3.09,10.499M,2.026B,Technology services
HUNAN HUAMIN HOLDI,6.4,2.924M,3.842B,Producer manufacturing
JIANGSU NATA OPTO,25.64,8.709M,13.983B,Process industries
HANGZHOU TIGERMED,47.76,5.132M,35.812B,Commercial services
SHENZHEN SUNLINE T,7.02,11.025M,5.667B,Technology services
GOLDCARD SMART GP,11.15,29.479M,4.642B,Electronic technology
HPF CO LTD,4.39,7.181M,2.529B,Transportation
ZHEJIANG YONGGUI E,13.39,5.15M,5.326B,Electronic technology
BEIJING VRV SOFTWA,3.81,13.696M,5.64B,Technology services
KYLAND TECHNOLOGY,7.78,17.808M,4.747B,Distribution services
DONGHUA TESTING TE,28.72,903.8K,4.039B,Electronic technology
M-GRASS ECOLOGY AN,2.27,11.881M,3.674B,Commercial services
ZHEJIANG WOLWO BIO,18.13,3.041M,9.712B,Health technology
TRUKING TECHNOLOGY,6.86,3.758M,4.144B,Producer manufacturing
QTONE EDUCATION GR,4.68,32.293M,3.1B,Technology services
HANGZHOU SUNRISE T,13.15,4.351M,6.899B,Electronic technology
PORTON PHARMA SOLU,11.66,5.465M,6.428B,Health technology
COL GROUP CO LTD,17.2,32.613M,12.928B,Technology services
BEIJING FOREVER TE,4.61,10.743M,2.834B,Technology services
TROY INFORMATION T,6.94,12.176M,4.948B,Technology services
HEBEI HUIJIN GROUP,2.58,22.694M,1.341B,Electronic technology
NSFOCUS TECHNOLOGI,4.81,21.527M,3.933B,Electronic technology
SICHUAN ETROL TECH,1.73,14.179M,2.749B,Producer manufacturing
HUIZHONG INSTRUMEN,9.14,19.109M,1.759B,Electronic technology
YANGZHOU YANGJIE E,36.33,4.623M,20.069B,Electronic technology
CHINA RAILWAY PREF,12.44,9.741M,3.029B,Non-energy minerals
TIANJIN PENGLING G,3.86,9.25M,2.946B,Producer manufacturing
EAST GROUP CO LTD,2.33,14.696M,5.598B,Producer manufacturing
SHENZHEN YSSTECH I,5.46,25.2M,4.227B,Technology services
DIGIWIN SOFTWARE C,15.96,6.981M,4.285B,Technology services
BEIJING TONGTECH C,8.43,45.32M,4.887B,Technology services
SHANGHAI AMARSOFT,15.96,4.271M,2.236B,Technology services
GUANGDONG VTR BIO-,5.78,5.925M,2.881B,Health technology
SUZHOU SLAC PRECIS,5.01,5.02M,3.19B,Producer manufacturing
BEIJING SINNET TEC,7.72,11M,14.057B,Technology services
BEIJING SANLIAN HO,11.45,1.444M,3.681B,Process industries
WUXI XUELANG ENVIR,3.6,11.923M,1.299B,Producer manufacturing
FEITIAN TECHNOLOGI,8.2,15.853M,3.566B,Electronic technology
HUBEI FORBON TECHN,6.21,6.787M,1.745B,Process industries
CECEP GUOZHEN ENVI,5.63,1.999M,3.746B,Industrial services
SHENZHEN ABSEN OPT,9.38,3.17M,3.455B,Producer manufacturing
CANMAX TECHS CO LT,16,6.732M,13.868B,Process industries
CHANGJIANG PHARM,3.6,19.017M,1.254B,Producer manufacturing
JOLYWOOD (SUZHOU),5.25,7.653M,5.851B,Producer manufacturing
SUZHOU TFC OPTICAL,85.61,10.002M,48.2B,Electronic technology
HUBEI FEILIHUA QUA,29.08,5.35M,14.815B,Electronic technology
DIRUI INDUSTRIAL C,15.84,5.157M,4.311B,Health technology
XI'AN TIAN HE DEFE,8.33,6.428M,4.369B,Electronic technology
PHICHEM CORPORATIO,10.52,11.453M,5.511B,Producer manufacturing
JIANGXI TIANLI TEC,9.78,13.898M,2.049B,Technology services
SHENZHEN JT AUTOMA,12.51,18.918M,3.16B,Producer manufacturing
ZHEJIANG GARDEN B.,13.47,28.129M,7.359B,Health technology
NANJING BAOSE CO,12.19,3.941M,3.021B,Producer manufacturing
HANYU GROUP JOINT-,6.43,24.85M,4.155B,Producer manufacturing
BOJI MEDICAL & TEC,7.12,4.326M,2.786B,Health technology
LIAONING KELONG FI,3.63,6.604M,1.049B,Process industries
BEIJING STRONG BIO,12.9,2.902M,7.691B,Health technology
TIANJIN KEYVIA ELE,7.67,8.018M,2.517B,Producer manufacturing
CHAOZHOU THREE-CIR,29.83,9.428M,56.97B,Electronic technology
GUANGDONG DOWSTONE,8.79,11.781M,5.189B,Process industries
GUANGDONG ZHENGYE,5.29,52.841M,1.822B,Producer manufacturing
