Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
HBFX S&TECHNOLOGY,1.94,34.887M,3B,Finance
CHINA RAILWAY MATE,2.46,12.526M,14.884B,Consumer durables
SINOSTEEL ENGINEER,5.33,8.076M,7.69B,Process industries
LANZHOU HUANGHE EN,5.54,1.402M,1.048B,Consumer non-durables
COFCO BIOTECHNOLOG,4.81,6.802M,9.006B,Process industries
BEIJING CENTERGATE,3.86,5.418M,2.952B,Health technology
HUNAN VALIN STEEL,3.99,79.792M,28.602B,Non-energy minerals
HENAN SHENHUO COAL,15.42,23.585M,35.192B,Non-energy minerals
SICHUAN HEXIE SHUA,10.43,4.316M,8.199B,Non-energy minerals
JIANGSU HUAXICUN,5.47,30.808M,5.077B,Process industries
JIZHONG ENERGY RES,5.35,14.919M,19.01B,Energy minerals
UNISPLENDOUR CO. L,19.08,32.336M,55.8B,Electronic technology
YUNNAN NANTIAN ELE,12.11,8.806M,4.902B,Technology services
XINXIANG CHEMICAL,3.54,16.794M,5.915B,Process industries
C.Q. PHARMACEUTICA,4.61,7.841M,8.019B,Health technology
SINOTRUK JINAN TRU,14.36,6.365M,17.153B,Consumer durables
HUBEI GUANGJI PHAR,4.99,6.79M,1.749B,Health technology
GUANGXI HECHI CHEM,3.37,33.705M,1.197B,Process industries
XINLONG HOLDING GR,2.88,9.331M,1.545B,Process industries
ZHONGTONG BUS CO L,9.47,28.694M,5.757B,Consumer durables
SPIC INDUSTRY-FINA,3.65,9.388M,19.757B,Producer manufacturing
BEIJING SHOUGANG,2.64,16.519M,20.812B,Non-energy minerals
YUNNAN TIN,13.87,11.989M,22.687B,Non-energy minerals
NINGXIA ORIENT TAN,9.68,6.385M,5.088B,Non-energy minerals
HUADONG MEDICINE,29.72,9.227M,52.856B,Health technology
T/TIANBAO INFRASTR,2.57,32.373M,2.797B,Non-energy minerals
