Name,Stock Price,Market cap,Percentage change,Industry
RATNAMANI METALS TUBES LI        ,"3,524.35",294.99Cr,4.81%,"Iron, Steel Mills & Foundries"
RADICO KHAITAN LIMITED        ,"1,832.65",294.38Cr,10.52%,Other Distillers & Wineries
LAURUS LABS LIMITED         ,447.9,287.04Cr,4.11%,Other Pharmaceuticals
KANSAI NEROLAC PAINTS LIM         ,294.85,283.91Cr,-11.40%,Paint & Coating
EIH LIMITED        ,385.95,283.73Cr,54.69%,"Other Hotels, Motels & Cruise Lines"
PIRAMAL ENTERPRISES LIMIT        ,"1,063.10",282.81Cr,14.14%,Other Consumer Lending
JUPITER WAGONS LIMITED        ,543.7,281.16Cr,70.47%,Other Heavy Machinery & Vehicles
TRIVENI TURBINE LIMITED         ,720.05,276.42Cr,69.84%,Turbine Manufacturing
ANGEL ONE LIMITED          ,"2,563.15",275.59Cr,-26.51%,Other Investment Banking & Brokerage Services
ATUL LTD         ,"7,934.60",273.57Cr,11.09%,Diversified Chemicals
AFFLE INDIA LIMITED          ,"1,701.05",272.94Cr,30.24%,Marketing Consulting Services
FINOLEX CABLES LIMITED        ,"1,486.90",269.61Cr,39.07%,Other Electrical Components & Equipment
JBM AUTO LIMITED         ,"1,892.45",269.3Cr,29.10%,"Other Auto, Truck & Motorcycle Parts"
PNB HOUSING FINANCE LIMIT         ,878.1,268.59Cr,12.47%,Retail & Mortgage Banks
AARTI INDUSTRIES LIMITED         ,626.8,268.52Cr,-3.53%,Other Specialty Chemicals
POLY MEDICURE LIMITED         ,"2,322.00",268.18Cr,55.76%,"Other Medical Equipment, Supplies & Distribution"
NUVAMA WEALTH MANAGEMENT           ,"6,317.55",268.03Cr,75.98%,Brokerage Services
SHYAM METALICS AND ENERGY          ,804.4,266.86Cr,28.13%,"Iron, Steel Mills & Foundries"
FIRSTSOURCE SOLUTIONS LIM        ,315.3,266.17Cr,70.57%,Other Business Support Services
DEVYANI INTERNATIONAL LIM          ,179.47,266.15Cr,-7.37%,Quick Service Restaurants
TEJAS NETWORKS LIMITED         ,"1,266.90",263.05Cr,45.67%,Other Communications & Networking
JINDAL SAW LIMITED         ,702.2,2.62B,70.44%,"Iron, Steel Mills & Foundries"
SWAN ENERGY LIMITED         ,692.7,2.62B,35.81%,Other Textiles & Leather Goods
ELGI EQUIPMENTS LIMITED        ,720,2.61B,32.22%,Air & Gas Compressors
COMPUTER AGE MANAGEMENT S          ,"4,426.70",2.61B,66.88%,Data Processing Services
CYIENT LIMITED        ,"1,999.35",2.59B,-12.78%,Other IT Services & Consulting
CIE AUTOMOTIVE INDIA LIMI         ,577,2.59B,22.60%,"Other Auto, Truck & Motorcycle Parts"
ALEMBIC PHARMACEUTICALS L        ,"1,095.55",2.58B,44.27%,Other Pharmaceuticals
HFCL LIMITED        ,146.15,2.58B,73.68%,Other Communications & Networking
FIVE STAR BUSINESS FINANC          ,736.05,2.58B,0.16%,Consumer Leasing
KEC INTERNATIONAL LIMITED        ,854.05,2.58B,44.95%,Other Construction & Engineering
KAJARIA CERAMICS LIMITED         ,"1,349.35",2.56B,3.59%,Other Construction Supplies & Fixtures
ADITYA BIRLA SUN LIFE AMC          ,730.95,2.55B,55.74%,Investment Management
BIKAJI FOODS INTERNATIONA          ,854.6,2.55B,56.49%,Other Food Processing
KALPATARU PROJECTS INTERN        ,"1,307.10",2.52B,84.31%,Other Construction & Engineering
NEXUS SELECT TRUST          ,138.93,2.51B,2.15%,Retail REITs
SIGNATUREGLOBAL INDIA LIM          ,"1,488.25",2.5B,69.63%,Other Real Estate Development & Operations
VINATI ORGANICS LIMITED          ,"1,989.85",2.46B,14.19%,Other Specialty Chemicals
JYOTHY LABS LIMITED        ,546.1,2.43B,14.04%,Other Household Products
CHAMBAL FERTILISERS AND C        ,504.3,2.43B,35.06%,Fertilizer
V GUARD INDUSTRIES LIMITE         ,477.55,2.43B,63.54%,Other Electrical Components & Equipment
NCC LIMITED        ,321,2.42B,92.56%,Other Construction & Engineering
GARDEN REACH SHIPBUILDERS         ,"1,764.75",2.41B,102.09%,Other Aerospace & Defense
MINDSPACE BUSINESS PARKS           ,338.19,2.41B,4.61%,Office REITs
RELAXO FOOTWEARS LIMITED         ,801.65,2.41B,-11.23%,Other Footwear
CELLO WORLD LIMITED          ,911.85,2.4B,15.84%,"Other Appliances, Tools & Housewares"
ANANT RAJ LIMITED        ,612,2.39B,107.35%,Other Real Estate Development & Operations
ASTER DM HEALTHCARE LIMIT         ,405.05,2.38B,-1.16%,"Hospitals, Clinics & Primary Care Services"
KRISHNA INSTITUTE OF MEDI          ,"2,480.05",2.36B,25.31%,Other Healthcare Facilities & Services
IIFL FINANCE LIMITED        ,460.1,2.32B,-23.08%,Other Consumer Lending
THE RAMCO CEMENTS LIMITED        ,822.2,2.31B,-19.42%,Cement & Concrete Manufacturing
KIRLOSKAR OIL ENGINES LIM        ,"1,295.60",2.29B,97.67%,Other Industrial Machinery & Equipment
BLUE DART EXPRESS LIMITED        ,"8,116.65",2.29B,10.45%,Other Air Freight & Logistics
WELSPUN LIVING LIMITED         ,198.7,2.29B,36.75%,Other Textiles & Leather Goods
CREDITACCESS GRAMEEN LIMI         ,"1,211.60",2.28B,-24.11%,Microfinancing
GUJARAT STATE PETRONET LI        ,376.95,2.28B,23.19%,Natural Gas Distribution
PTC INDUSTRIES LIMITED         ,"13,881.40",2.28B,130.96%,Other Steel
TITAGARH RAIL SYSTEMS LIM         ,"1,429.15",2.28B,36.96%,Other Heavy Machinery & Vehicles
WELSPUN CORP LIMITED        ,728.95,2.27B,33.26%,Other Steel
PCBL LIMITED          ,500.35,2.25B,98.91%,Other Specialty Chemicals
TRIDENT LIMITED          ,37.74,2.25B,3.97%,Other Textiles & Leather Goods
THE GREAT EASTERN SHIPPIN        ,"1,276.00",2.24B,30.50%,Other Oil & Gas Transportation Services
IFCI LIMITED        ,71.68,2.24B,145.90%,Other Corporate Financial Services
BATA INDIA LIMITED         ,"1,450.00",2.23B,-12.18%,Other Footwear
R R KABEL LIMITED          ,"1,639.65",2.21B,4.34%,Wires & Cables
TATA TELESERVICES MAHARAS        ,92.5,2.19B,0.85%,Other Integrated Telecommunications Services
DCM SHRIRAM LIMITED        ,"1,144.15",2.19B,11.26%,Diversified Chemicals
TBO TEK LIMITED          ,"1,726.85",2.19B,0.00%,Travel Agents
MANAPPURAM FINANCE LIMITE        ,215.7,2.17B,25.44%,Other Consumer Lending
TECHNO ELECTRIC ENGINEERI          ,"1,711.30",2.17B,113.95%,Other Construction & Engineering
HBL POWER SYSTEMS LIMITED        ,676.95,2.17B,55.14%,Batteries & Uninterruptable Power Supplies
SOBHA LIMITED        ,"1,713.85",2.15B,73.87%,Other Real Estate Development & Operations
IDFC LIMITED        ,111.69,2.14B,-11.81%,Other Investment Management & Fund Operators
THE KARUR VYSYA BANK LIMI         ,223.53,2.14B,32.34%,Commercial Banks
FINOLEX INDUSTRIES LIMITE        ,288.15,2.12B,36.56%,Plumbing Fixtures & Fittings
CAPRI GLOBAL CAPITAL LIMI         ,214.8,2.11B,11.52%,Other Consumer Lending
THE BOMBAY BURMAH TRADING         ,"2,536.50",2.1B,61.21%,Other Food Processing
ZENSAR TECHNOLOGIES LIMIT         ,772.95,2.1B,26.60%,Other IT Services & Consulting
RAMKRISHNA FORGINGS LIMIT        ,950.7,2.09B,31.00%,"Iron, Steel Mills & Foundries"
MAHANAGAR GAS LIMITED         ,"1,772.15",2.08B,47.62%,Natural Gas Distribution
CHALET HOTELS LIMITED         ,824.35,2.07B,18.36%,Hotels & Motels
INDIAMART INTERMESH LIMIT         ,"2,961.35",2.07B,8.80%,E-commerce & Auction Services
CONCORD BIOTECH LIMITED          ,"1,612.90",2.05B,9.59%,Biopharmaceuticals
ERIS LIFESCIENCES LIMITED         ,"1,274.60",2.05B,40.07%,Other Pharmaceuticals
SONATA SOFTWARE LIMITED        ,620.5,2.05B,-16.46%,Other IT Services & Consulting
ASTRAZENECA PHARMA INDIA          ,"6,865.05",2.05B,24.37%,Other Pharmaceuticals
AADHAR HOUSING FINANCE LI          ,397.6,2.04B,0.00%,Other Consumer Lending
NATIONAL HIGHWAYS INFRA T          ,130.5,2.04B,10.13%,Highway & Bridge Construction
KFIN TECHNOLOGIES LIMITED          ,"1,009.20",2.03B,109.07%,Financial Technology (Fintech) (NEC)
FINE ORGANIC INDUSTRIES L         ,"5,501.10",2.01B,10.50%,Other Specialty Chemicals
CENTURY PLYBOARDS INDIA L        ,787.85,2.01B,2.07%,Wood Products
INDIAN ENERGY EXCHANGE LI          ,188.95,2B,12.47%,Securities & Commodity Exchanges
BIRLASOFT LIMITED         ,601.25,1.98B,-16.61%,Other IT Services & Consulting
GRANULES INDIA LIMITED         ,682.9,1.97B,68.45%,Other Pharmaceuticals
LAKSHMI MACHINE WORKS LIM        ,"15,381.80",1.97B,12.08%,Industrial Machinery
CLEAN SCIENCE AND TECHNOL          ,"1,516.85",1.97B,-2.08%,Other Specialty Chemicals
SUPREME PETROCHEM LIMITED         ,862.1,1.95B,54.02%,Other Commodity Chemicals
REDINGTON LIMITED        ,202.48,1.95B,14.52%,Other Computer Hardware
NAVIN FLUORINE INTERNATIO         ,"3,303.25",1.95B,-14.24%,Other Specialty Chemicals
BLS INTERNATIONAL SERVICE         ,425.6,1.95B,33.25%,Data Processing Services
BEML LIMITED        ,"3,914.25",1.95B,38.39%,Other Heavy Machinery & Vehicles
JAI BALAJI INDUSTRIES LIM        ,914.2,192.77Cr,20.00%,"Iron, Steel Mills & Foundries"
ZEN TECHNOLOGIES LIMITED         ,"1,876.05",192.49Cr,135.63%,Other Aerospace & Defense
DATA PATTERNS INDIA LIMIT          ,"2,881.30",192.47Cr,54.81%,Aerospace & Defense Electronics
NMDC STEEL LIMITED          ,55.61,191.45Cr,8.19%,Iron Ore Mining
KSB LIMITED        ,914.9,190.92Cr,32.05%,Pump & Pumping Equipment
RAILTEL CORPORATION OF IN          ,503.1,190.43Cr,48.85%,Other Integrated Telecommunications Services
ASAHI INDIA GLASS LIMITED        ,663.85,189.73Cr,15.13%,Automotive Body Parts
DOMS INDUSTRIES LIMITED          ,"2,593.55",189.14Cr,107.35%,Office Supplies
SANOFI INDIA LIMITED        ,"6,758.75",188.26Cr,-16.22%,Generic Pharmaceuticals
RITES LIMITED         ,649.25,186.84Cr,29.23%,Other Business Support Services
STERLING AND WILSON RENEW          ,670.95,186.82Cr,55.19%,Electric Construction
NEULAND LABORATORIES LIMI         ,"11,916.90",186.47Cr,125.38%,Other Pharmaceuticals
WOCKHARDT LIMITED        ,"1,059.10",186.38Cr,149.58%,Generic Pharmaceuticals
ACTION CONSTRUCTION EQUIP        ,"1,298.85",185.39Cr,56.65%,Construction Machinery
MMTC LIMITED         ,100.8,185.24Cr,68.45%,Integrated Mining
APTUS VALUE HOUSING FINAN          ,311.95,184.65Cr,-2.44%,Retail & Mortgage Banks
GODREJ AGROVET LIMITED          ,790.65,182.85Cr,41.83%,Other Fishing & Farming
HONASA CONSUMER LIMITED          ,468.6,181.29Cr,6.31%,Beauty Supply Shop
G R INFRAPROJECTS LIMITED          ,"1,546.05",180.98Cr,35.12%,Highway & Bridge Construction
CHENNAI PETROLEUM CORPORA        ,"1,001.40",180.66Cr,43.99%,Petroleum Refining
KIRLOSKAR BROTHERS LIMITE        ,"1,845.00",180.38Cr,108.15%,Pump & Pumping Equipment
NEWGEN SOFTWARE TECHNOLOG          ,"1,047.75",179.29Cr,34.13%,Enterprise Software
ANAND RATHI WEALTH LIMITE          ,"3,665.25",178.57Cr,41.31%,Investment Management
WAAREE RENEWABLE TECHNOLO         ,"1,403.50",178.01Cr,254.18%,Solar Electric Ultilities
AKZO NOBEL INDIA LIMITED        ,"3,237.05",177.7Cr,24.10%,Paint & Coating
MINDA CORPORATION LIMITED         ,632.3,177.18Cr,63.70%,"Other Auto, Truck & Motorcycle Parts"
AKUMS DRUGS AND PHARMACEU          ,940.65,176.63Cr,0.00%,Other Pharmaceuticals
VOLTAMP TRANSFORMERS LIMI        ,"14,260.45",174.52Cr,118.70%,Other Heavy Electrical Equipment
PG ELECTROPLAST LIMITED         ,520.6,174.15Cr,119.72%,Other Electronic Equipment & Parts
PVR INOX LIMITED        ,"1,511.90",173.95Cr,-8.87%,Movie Theaters & Movie Products
INOX WIND ENERGY LIMITED          ,"12,069.55",173.5Cr,125.12%,Wind Systems & Equipment
ZYDUS WELLNESS LIMITED        ,"2,255.30",173.47Cr,34.07%,Other Food Processing
UTI ASSET MANAGEMENT COMP          ,"1,168.90",172.83Cr,34.88%,Wealth Management
E I D PARRY INDIA LIMITED        ,812.1,172.62Cr,45.83%,Other Agricultural Chemicals
GRAVITA INDIA LIMITED         ,"2,076.35",172.61Cr,89.42%,Nonferrous Metal Processing
VARDHMAN TEXTILES LIMITED        ,495.3,172.24Cr,28.63%,Yarn Goods
JUBILANT PHARMOVA LIMITED        ,902.2,171.2Cr,65.31%,Other Pharmaceuticals
NETWEB TECHNOLOGIES INDIA          ,"2,687.75",169.84Cr,126.33%,Other IT Services & Consulting
AMBER ENTERPRISES INDIA L          ,"4,242.10",168.91Cr,35.30%,"Heating, Ventilation & Air Conditioning Systems"
CRAFTSMAN AUTOMATION LIMI          ,"6,263.75",167.7Cr,15.86%,Other Industrial Machinery & Equipment
ALOK INDUSTRIES LIMITED          ,28.26,1.67B,32.37%,Other Textiles & Leather Goods
PRAJ INDUSTRIES LIMITED        ,753.15,1.66B,35.46%,Other Construction & Engineering
RELIANCE POWER LIMITED        ,32.75,1.65B,40.56%,Other Independent Power Producers
RAYMOND LIMITED        ,"2,020.90",1.64B,17.28%,Other Textiles & Leather Goods
WESTLIFE FOODWORLD LIMITE         ,888.6,1.64B,8.99%,Quick Service Restaurants
ELECON ENGINEERING COMPAN        ,609.8,1.63B,31.58%,Other Industrial Machinery & Equipment
RBL BANK LIMITED          ,228.23,1.62B,-18.28%,Commercial Banks
INDEGENE LIMITED          ,563.65,1.62B,0.00%,Other Business Support Services
NAVA LIMITED        ,963.35,1.62B,120.29%,Consumer Goods Conglomerates
INTELLECT DESIGN ARENA LI         ,983.15,1.62B,17.52%,Financial Technology (Fintech) (NEC)
DEEPAK FERTILISERS AND PE        ,"1,085.65",1.61B,59.95%,Diversified Chemicals
ELECTROSTEEL CASTINGS LIM        ,216.85,1.61B,95.62%,Other Steel
AAVAS FINANCIERS LIMITED         ,"1,686.95",1.59B,10.10%,Retail & Mortgage Banks
INGERSOLL RAND INDIA LIMI        ,"4,185.10",1.59B,34.39%,Air & Gas Compressors
CAPLIN POINT LABORATORIES         ,"1,842.00",1.58B,35.82%,Generic Pharmaceuticals
ZEE ENTERTAINMENT ENTERPR        ,135.2,1.57B,-50.78%,Television Broadcasting
ECLERX SERVICES LIMITED        ,"2,756.80",1.56B,6.37%,Other Business Support Services
OLECTRA GREENTECH LIMITED         ,"1,579.20",1.56B,17.19%,Other Electrical Components & Equipment
RHI MAGNESITA INDIA LIMIT         ,630.4,1.55B,-21.62%,Other Construction Materials
TTK PRESTIGE LIMITED        ,939.3,1.55B,26.65%,Kitchen Appliances
THE SHIPPING CORPORATION         ,274.55,1.54B,68.54%,Deep Sea Freight
BROOKFIELD INDIA REAL EST          ,266.82,1.53B,13.33%,Office REITs
GLENMARK LIFE SCIENCES LI          ,"1,047.95",1.53B,59.49%,Other Pharmaceuticals
JAIPRAKASH POWER VENTURES        ,18.19,1.51B,30.39%,Renewable IPPs
GODAWARI POWER ISPAT LIMI        ,965.05,1.51B,27.51%,"Iron, Steel Mills & Foundries"
CERA SANITARYWARE LIMITED        ,"9,765.20",1.51B,24.43%,Bathroom Fixtures
LT FOODS LIMITED         ,371.2,1.5B,82.68%,Other Food Processing
RAINBOW CHILDREN S MEDICA          ,"1,234.80",1.5B,3.50%,"Hospitals, Clinics & Primary Care Services"
CITY UNION BANK LIMITED        ,167.87,1.47B,12.66%,Commercial Banks
TANLA PLATFORMS LIMITED        ,938.1,1.47B,-14.30%,Other IT Services & Consulting
HAPPIEST MINDS TECHNOLOGI          ,804.15,1.46B,-10.26%,Other IT Services & Consulting
SARDA ENERGY MINERALS LIM        ,349.2,1.46B,38.02%,"Iron, Steel Mills & Foundries"
NUVOCO VISTAS CORPORATION          ,338.3,1.46B,-11.56%,Cement & Concrete Manufacturing
THE JAMMU AND KASHMIR BAN         ,109.43,1.45B,-11.03%,Other Banks
ENGINEERS INDIA LIMITED        ,214.1,1.44B,24.88%,Other Construction & Engineering
GENUS POWER INFRASTRUCTUR         ,447.95,1.44B,93.17%,Other Electrical Components & Equipment
STRIDES PHARMA SCIENCE LI        ,"1,316.45",1.43B,102.76%,Generic Pharmaceuticals
AETHER INDUSTRIES LIMITED          ,874.2,1.43B,-1.48%,Other Specialty Chemicals
PNC INFRATECH LIMITED         ,463.05,1.42B,31.75%,Other Construction & Engineering
KIRLOSKAR FERROUS INDUSTR        ,694.55,1.41B,25.37%,"Iron, Steel Mills & Foundries"
GUJARAT MINERAL DEVELOPME        ,369.1,1.41B,-9.31%,Other Coal
FORCE MOTORS LIMITED        ,"8,570.35",1.4B,136.68%,Other Auto & Truck Manufacturers
C E INFO SYSTEMS LIMITED          ,"2,088.50",1.39B,7.37%,Other Software
SAFARI INDUSTRIES INDIA L         ,"2,367.30",1.38B,21.43%,Handbags & Luggage
CEAT LIMITED        ,"2,837.30",1.37B,16.87%,Tire & Tube Manufacturers
TEGA INDUSTRIES LIMITED          ,"1,713.80",1.36B,48.77%,Other Industrial Machinery & Equipment
BALRAMPUR CHINI MILLS LIM        ,564.1,1.36B,37.43%,Sugar & Artificial Sweeteners
THE INDIA CEMENTS LIMITED        ,365.8,1.36B,41.29%,Cement & Concrete Manufacturing
HAPPY FORGINGS LIMITED          ,"1,196.35",1.36B,16.24%,"Other Auto, Truck & Motorcycle Parts"
RATTANINDIA ENTERPRISES L         ,82.93,1.35B,8.72%,E-commerce & Auction Services
CAN FIN HOMES LIMITED         ,851.35,1.35B,9.43%,Other Consumer Lending
BENGAL ASSAM COMPANY LIMI         ,"10,377.45",1.35B,37.30%,Other Tires & Rubber Products
BAJAJ ELECTRICALS LIMITED        ,975,1.35B,-1.42%,"Other Appliances, Tools & Housewares"
GUJARAT PIPAVAV PORT LIMI        ,232.27,1.34B,51.76%,Port Operators
SYMPHONY LIMITED         ,"1,605.80",1.34B,83.34%,Household Appliances
TRANSFORMERS AND RECTIFIE         ,724.75,1.34B,212.53%,Other Heavy Electrical Equipment
KPI GREEN ENERGY LIMITED          ,907.95,1.33B,85.54%,Renewable IPPs
VALOR ESTATE LIMITED        ,203.85,1.33B,9.74%,Other Real Estate Development & Operations
JUST DIAL LIMITED         ,"1,310.95",1.33B,63.42%,Other Internet Services
RASHTRIYA CHEMICALS AND F        ,199.2,1.32B,24.89%,Fertilizer
INOX INDIA LIMITED          ,"1,181.65",1.31B,33.88%,Other Industrial Machinery & Equipment
PURAVANKARA LIMITED        ,451.2,1.31B,141.41%,Other Real Estate Development & Operations
POWER MECH PROJECTS LIMIT         ,"7,012.70",1.3B,63.64%,Other Construction & Engineering
QUESS CORP LIMITED         ,781.25,1.3B,49.39%,Human Resources Consulting Services
MAHARASHTRA SCOOTERS LTD        ,"9,465.15",1.29B,27.57%,Other Holding Companies
INDIA GRID TRUST          ,136.55,1.28B,5.34%,Other Electric Utilities
JUBILANT INGREVIA LIMITED          ,662.7,1.27B,30.30%,Other Specialty Chemicals
JK TYRE INDUSTRIES LIMITE         ,407.4,1.27B,2.27%,Tire & Tube Manufacturers
ARVIND LIMITED        ,405.55,1.27B,55.03%,Other Textiles & Leather Goods
METROPOLIS HEALTHCARE LIM         ,"2,065.25",1.26B,23.07%,Medical & Diagnostic Laboratories
ISGEC HEAVY ENGINEERING L         ,"1,491.15",1.25B,51.96%,Other Industrial Machinery & Equipment
VESUVIUS INDIA LIMITED        ,"5,145.40",1.25B,43.42%,Industrial Process Furnace & Ovens
LEMON TREE HOTELS LIMITED         ,132.95,1.25B,10.93%,"Other Hotels, Motels & Cruise Lines"
SAPPHIRE FOODS INDIA LIMI          ,"1,620.55",1.24B,14.03%,Quick Service Restaurants
GRAPHITE INDIA LIMITED        ,528,1.24B,-3.94%,Other Electrical Components & Equipment
LATENT VIEW ANALYTICS LIM          ,497,1.24B,9.22%,Other IT Services & Consulting
H G INFRA ENGINEERING LIM         ,"1,575.20",1.24B,85.85%,Civil Engineers & Architects
GALAXY SURFACTANTS LIMITE         ,"2,886.00",1.23B,3.97%,Other Specialty Chemicals
MARKSANS PHARMA LIMITED        ,234.65,1.23B,45.65%,Other Pharmaceuticals
NETWORK   MEDIA INVESTMEN        ,95.7,1.22B,9.56%,Other Broadcasting
BIRLA CORPORATION LIMITED        ,"1,321.65",121.94Cr,-8.31%,Cement & Concrete Manufacturing
SHEELA FOAM LIMITED         ,943.55,121.84Cr,-23.93%,Furniture
USHA MARTIN LIMITED        ,336.15,121.06Cr,13.49%,Other Steel
EUREKA FORBES LIMITED          ,525.7,120.98Cr,3.17%,Purification & Treatment Equipment
SAREGAMA INDIA LIMITED        ,514.6,120.3Cr,38.78%,"Movie, TV Production & Distribution"
PRUDENT CORPORATE ADVISOR          ,"2,425.75",120.05Cr,101.66%,Other Investment Management & Fund Operators
SHREE RENUKA SUGARS LIMIT        ,46.85,119.64Cr,-0.64%,Sugar & Artificial Sweeteners
EDELWEISS FINANCIAL SERVI        ,109.85,119.39Cr,41.10%,Diversified Investment Services
AURIONPRO SOLUTIONS LIMIT        ,"1,946.50",119.33Cr,78.84%,Other Software
ROUTE MOBILE LIMITED          ,"1,594.20",119.21Cr,-0.27%,Other IT Services & Consulting
THOMAS COOK INDIA LIMITED         ,224.8,118.86Cr,65.11%,Travel Agents
TEXMACO RAIL ENGINEERING         ,246.1,118.44Cr,43.79%,Other Heavy Machinery & Vehicles
ARCHEAN CHEMICAL INDUSTRI          ,801.2,117.96Cr,23.32%,Other Specialty Chemicals
TRIVENI ENGINEERING INDUS        ,446.15,117.75Cr,29.43%,Sugar & Artificial Sweeteners
REDTAPE LIMITED          ,711,117.24Cr,51.28%,Other Apparel & Accessories Retailers
GUJARAT NARMADA VALLEY FE        ,675.55,116.92Cr,-10.26%,Fertilizer
KEYSTONE REALTORS LIMITED          ,770.25,115.81Cr,20.31%,Other Real Estate Development & Operations
TIPS INDUSTRIES LIMITED        ,736.35,115.55Cr,115.37%,Other Entertainment Production
KNR CONSTRUCTIONS LIMITED         ,334.1,114.71Cr,30.38%,Other Construction & Engineering
AZAD ENGINEERING LIMITED          ,"1,619.65",114.24Cr,134.04%,Other Renewable Energy Equipment & Services
MAX ESTATES LIMITED          ,644.95,113.44Cr,107.85%,Other Real Estate Development & Operations
ELANTAS BECK INDIA LIMITE         ,"12,111.20",113.28Cr,42.59%,Other Electrical Components & Equipment
CCL PRODUCTS INDIA LIMITE         ,706.65,113.19Cr,9.81%,Coffee & Tea
GUJARAT STATE FERTILIZERS         ,235.95,112.99Cr,-2.28%,Fertilizer
