Name,Stock_price,Currency,Market Valuation,variation,Industry
HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.P.,0.899,KWD,530M,9.63%,Oil Related Services
NATIONAL PETROLEUM SERVICES COMPANY K.S.C.P.,0.809,KWD,239M,0.75%,Oil Related Services
TOGETHER PHARMA LTD,478,ILa,16M,23.71%,Online Job Portals
ALMEDA VENTURES LIMITED PARTNERSHIP,164.7,ILa,5.53M,-19.66%,Other Advanced Medical Equipment & Technology
ARABIAN INTERNATIONAL HEALTHCARE HOLDING COMPANY,40,SAR,211M,0.38%,Other Advanced Medical Equipment & Technology
BIOLIGHT LIFE SCIENCES LTD.,450,ILa,5.49M,-13.41%,Other Advanced Medical Equipment & Technology
BRAINSWAY LTD.,"1,477.00",ILa,13Cr,28.55%,Other Advanced Medical Equipment & Technology
"TIHAMA FOR ADVERTISING, PUBLIC RELATIONS AND MARKETING COMPANY",15.34,SAR,164M,-8.58%,Other Advertising & Marketing
ARYT INDUSTRIES LTD.,429.8,ILa,114M,6.96%,Other Aerospace & Defense
ASHOT ASHKELON INDUSTRIES LTD.,"3,614.00",ILa,233M,36.27%,Other Aerospace & Defense
ELBIT SYSTEMS LTD.,"74,070.00",ILa,9.07B,-4.37%,Other Aerospace & Defense
IMCO INDUSTRIES LTD.,"2,918.00",ILa,3.94Cr,62.02%,Other Aerospace & Defense
SDT UZAY VE SAVUNMA TEKNOLOJILERI ANONIM SIRKETI,245.7,TRY,43Cr,-9.27%,Other Aerospace & Defense
ABU QIR FERTILIZERS AND CHEMICAL INDUSTRIES CO. (S.A.E.),57.9,EGP,1.5B,-31.07%,Other Agricultural Chemicals
ARAB POTASH COMPANY,27.83,JOD,3.27B,6.51%,Other Agricultural Chemicals
EGYPTIAN FINANCIAL AND INDUSTRIAL SAE,103.56,EGP,154M,73.93%,Other Agricultural Chemicals
HEKTAS TICARET T.A.S.,11.39,TRY,84Cr,-43.33%,Other Agricultural Chemicals
ICL GROUP LTD,"1,645.00",ILa,567.8Cr,-9.52%,Other Agricultural Chemicals
JORDAN PHOSPHATE MINES CO. PLC,11.18,JOD,3.9B,4.58%,Other Agricultural Chemicals
KAFR EL ZAYAT FOR PESTICIDES & CHEMICALS CO.(S.A.E),8.62,EGP,3.18Cr,7.21%,Other Agricultural Chemicals
LOTUS AGRI CAPITAL,-,EGP,0,-.--%,Other Agricultural Chemicals
MISR FERTILIZER PRODUCTION COMPANY,48.99,EGP,208.81Cr,-23.75%,Other Agricultural Chemicals
MOBI INDUSTRY CO.,12.68,SAR,176M,23.35%,Other Agricultural Chemicals
NORTHERN UPPER EGYPT FOR DEVELOPMENT & AGRICULTURAL PRODUCTION CO.,2.02,EGP,26.29L,-21.09%,Other Agricultural Chemicals
REKAZ FINANCIAL HOLDING,2.85,EGP,0,-.--%,Other Agricultural Chemicals
SAMAD MISR EGYFERT.S.A.E,49.67,EGP,97.75L,9.26%,Other Agricultural Chemicals
THE ARAB PESTICIDES & VETERINARY DRUGS MFG. CO.,2.45,JOD,5.7Cr,12.90%,Other Agricultural Chemicals
ABU DHABI AVIATION CO.,6.76,AED,83Cr,-0.87%,Other Air Freight & Logistics
AGILITY PUBLIC WAREHOUSING COMPANY K.S.C.P.,0.255,KWD,213.04Cr,-49.90%,Other Air Freight & Logistics
ORIAN SH.M. LTD.,"1,600.00",ILa,7.8Cr,-19.96%,Other Air Freight & Logistics
THE PALESTINIAN COMPANY FOR DISTRIBUTION & LOGISTICS SERVICES LLC,1.04,USD,1.35Cr,10.64%,Other Air Freight & Logistics
BET SHEMESH ENGINES HOLDINGS (1997) LTD,"22,920.00",ILa,508M,97.76%,Other Aircraft Parts Manufacturing
AIR ARABIA,2.64,AED,3.35B,-6.38%,Other Airlines
EL AL ISRAEL AIRLINES LTD.,594.7,ILa,67Cr,72.38%,Other Airlines
JAZEERA AIRWAYS K.S.C.P.,0.888,KWD,64Cr,-36.07%,Other Airlines
KNAFAIM HOLDINGS LTD.,"1,089.00",ILa,48.09M,20.50%,Other Airlines
PEGASUS HAVA TASIMACILIGI ANONIM SIRKETI,213,TRY,3.12B,60.29%,Other Airlines
TRK HAVA YOLLARI ANONIM ORTAKLIGI,294,TRY,11.98B,28.72%,Other Airlines
ELEBI HAVA SERVISI,"1,858.00",TRY,1.31B,112.46%,Other Airport Services
SAUDI GROUND SERVICES COMPANY,53.7,SAR,268.56Cr,48.55%,Other Airport Services
TAV HAVALIMANLARI HOLDING,236.4,TRY,251.83Cr,119.81%,Other Airport Services
UNITED PROJECTS COMPANY FOR AVIATION SERVICES K.S.C.P.,0.16,KWD,198M,-10.61%,Other Airport Services
AL TAISEER GROUP TALCO INDUSTRIAL COMPANY,60.3,SAR,66Cr,0.00%,Other Aluminum
ARAB ALUMINIUM INDUSTRY CO. LTD.,2.2,JOD,20.95M,-26.17%,Other Aluminum
ARAB ALUMINUM COMPANY (S.A.E),12.95,EGP,11.25M,10.68%,Other Aluminum
EGYPT ALUMINUM,106.12,EGP,90Cr,63.61%,Other Aluminum
NATIONAL ALUMINIUM INDUSTRIAL CO.,0.74,JOD,93.95L,-17.78%,Other Aluminum
NATIONAL ALUMINIUM PRODUCTS COMPANY SAOG,0.054,OMR,12.02L,20.00%,Other Aluminum
NATIONAL ALUMINUM AND PROFILES COMPANY,0.99,JOD,1.54Cr,-13.91%,Other Aluminum
AKIN TEKSTIL ANONIM SIRKETI,153.6,TRY,112M,72.12%,Other Apparel & Accessories
CONCRETE FASHION GROUP FOR COMMERCIAL AND INDUSTRIAL INVESTMENTS S.A.E,0.09,USD,4.23Cr,30.43%,Other Apparel & Accessories
DAGI GIYIM SANAYI VE TICARET,10.25,TRY,3.92Cr,39.84%,Other Apparel & Accessories
DELTA GALIL INDUSTRIES LTD.,"16,810.00",ILa,112.9Cr,2.25%,Other Apparel & Accessories
DESA DERI SANAYI VE TICARET,19.65,TRY,14Cr,13.64%,Other Apparel & Accessories
DICE SPORT & CASUAL WEAR,1.68,EGP,5.91Cr,92.00%,Other Apparel & Accessories
EL-NASR CLOTHING & TEXTILES CO. (KABO),2.8,EGP,26.67M,-6.04%,Other Apparel & Accessories
ENSARI DERI GIDA SANAYI VE TICARET,18.58,TRY,65.32M,-30.69%,Other Apparel & Accessories
SUWEN TEKSTIL SANAYI PAZARLAMA,30.16,TRY,198M,17.45%,Other Apparel & Accessories
VAKKO TEKSTIL VE HAZIR GIYIM SANAYI ISLETMELERI,108.7,TRY,508M,40.41%,Other Apparel & Accessories
BOYNER PERAKENDE VE TEKSTIL YATIRIMLR AS,-,TRY,1.51B,0.00%,Other Apparel & Accessories Retailers
BRILL SHOE INDUSTRIES LTD.,"1,388.00",ILa,22.72M,38.38%,Other Apparel & Accessories Retailers
CASTRO MODEL LTD.,"7,558.00",ILa,165M,93.40%,Other Apparel & Accessories Retailers
DELTA ISRAEL BRANDS LTD,"6,374.00",ILa,43Cr,48.34%,Other Apparel & Accessories Retailers
DERIMOD KONFEKSIYON AYAKKABI DERI SANAYI VE TICARET,33.28,TRY,5.46Cr,121.87%,Other Apparel & Accessories Retailers
FAD INTERNATIONAL COMPANY,79.9,SAR,26.22M,-25.88%,Other Apparel & Accessories Retailers
FAWAZ ABDULAZIZ AL HOKAIR & COMPANY,10.04,SAR,307M,-43.02%,Other Apparel & Accessories Retailers
FITAIHI HOLDING GROUP,4.22,SAR,311M,36.13%,Other Apparel & Accessories Retailers
FOX-WIZEL LTD.,"26,970.00",ILa,1.02B,12.09%,Other Apparel & Accessories Retailers
GOLF & CO GROUP LTD,461,ILa,5.43Cr,65.35%,Other Apparel & Accessories Retailers
KOTON MAGAZACILIK TEKSTIL SANAYI VE TICARET,21.66,TRY,54Cr,0.00%,Other Apparel & Accessories Retailers
MAVI GIYIM SANAYI VE TICARET,101.5,TRY,119.04Cr,74.42%,Other Apparel & Accessories Retailers
RETAILORS LTD,"6,367.00",ILa,83Cr,-11.00%,Other Apparel & Accessories Retailers
AMWAJ INTERNATIONAL COMPANY,41.55,SAR,67.96M,-18.53%,"Other Appliances, Tools & Housewares"
GB CORP,14.2,EGP,316M,79.75%,Other Auto & Truck Manufacturers
KARSAN OTOMOTIV SANAYII VE TICARET,15.82,TRY,43Cr,85.46%,Other Auto & Truck Manufacturers
CARASSO MOTORS LTD.,"1,980.00",ILa,47Cr,26.76%,"Other Auto Vehicles, Parts & Service Retailers"
DELEK AUTOMOTIVE SYSTEMS LTD,"2,202.00",ILa,57Cr,-5.62%,"Other Auto Vehicles, Parts & Service Retailers"
DOGUS OTOMOTIV SERVIS VE TICARET,231.4,TRY,1.51B,-9.96%,"Other Auto Vehicles, Parts & Service Retailers"
BALATACILAR BALATACILIK SANAYI VE TICARET,36.7,TRY,1.49Cr,97.31%,"Other Auto, Truck & Motorcycle Parts"
BARBARY INVESTMENT GROUP ( BIG),0.673,EGP,0,-9.30%,"Other Auto, Truck & Motorcycle Parts"
DITAS DOGAN YEDEK PARA IMALAT VE TEKNIK,22.32,TRY,5.73Cr,51.01%,"Other Auto, Truck & Motorcycle Parts"
EGE ENDSTRI VE TICARET,"10,022.50",TRY,939M,-3.65%,"Other Auto, Truck & Motorcycle Parts"
INTERNATIONAL BUSINESS CORP TRADING&AGEN,3.48,EGP,0,-.--%,"Other Auto, Truck & Motorcycle Parts"
JANTSA JANT SANAYI VE TICARET,22.72,TRY,47Cr,37.79%,"Other Auto, Truck & Motorcycle Parts"
MIA DYNAMICS MOTORS LTD,28.5,ILa,1.5Cr,-25.39%,"Other Auto, Truck & Motorcycle Parts"
PARSAN MAKINA PARALARI SANAYII,89.9,TRY,204M,-1.32%,"Other Auto, Truck & Motorcycle Parts"
TGI INFRASTRUCTURES LTD,196.5,ILa,3.95Cr,-15.92%,"Other Auto, Truck & Motorcycle Parts"
ABU DHABI COMMERCIAL BANK,8.77,AED,17.35B,-4.47%,Other Banks
AHLI BANK Q.P.S.C.,3.704,QAR,259.56Cr,2.26%,Other Banks
AKBANK T.A.S.,59.45,TRY,8.89B,63.20%,Other Banks
AL AHLI BANK OF KUWAIT K.S.C.P.,0.287,KWD,232.69Cr,29.34%,Other Banks
ALBARAKA TRK KATILIM BANKASI,6.05,TRY,44Cr,58.12%,Other Banks
ARAB BANKING CORPORATION (B.S.C.),0.33,USD,1.02B,6.45%,Other Banks
ARAB JORDAN INVESTMENT BANK,1.29,JOD,27Cr,-0.77%,Other Banks
ARAB NATIONAL BANK,19.98,SAR,10.72B,5.30%,Other Banks
BANK AUDI SAL,1.7,USD,999M,-27.66%,Other Banks
BANK DHOFAR SAOG,0.158,OMR,122.95Cr,-1.25%,Other Banks
BANK MUSCAT SAOG,0.259,OMR,504.91Cr,-1.89%,Other Banks
BANK NIZWA SAOG,0.105,OMR,61Cr,9.38%,Other Banks
BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,4.7,EUR,233.54Cr,40.30%,Other Banks
BANK OF JORDAN,2.16,JOD,61Cr,-6.09%,Other Banks
BANK OF SHARJAH,0.83,AED,67Cr,26.72%,Other Banks
BANQUE SAUDI FRANSI,35.2,SAR,11.2B,-12.00%,Other Banks
BYBLOS BANK S.A.L.,0.63,USD,354M,-10.00%,Other Banks
COMMERCIAL BANK OF KUWAIT K.P.S.C.,0.539,KWD,3.16B,3.65%,Other Banks
EMIRATES NBD BANK,19.75,AED,33.96B,14.16%,Other Banks
F.I.B.I. HOLDINGS LTD,"15,740.00",ILa,153.9Cr,-1.62%,Other Banks
FIRST ABU DHABI BANK,13.24,AED,40.04B,-5.16%,Other Banks
ICBC TURKEY BANK,13.32,TRY,334M,-8.21%,Other Banks
JORDAN KUWAIT BANK,2.84,JOD,60Cr,10.51%,Other Banks
KUWAIT INTERNATIONAL BANK K.S.C.P.,0.186,KWD,960M,27.75%,Other Banks
MASHREQBANK,219,AED,11.74B,44.08%,Other Banks
MIZRAHI TEFAHOT BANK LTD.,"13,790.00",ILa,9.86B,-3.30%,Other Banks
NATIONAL BANK OF KUWAIT S.A.K.P.,0.877,KWD,23.9B,3.01%,Other Banks
NATIONAL BANK OF UMM AL-QAIWAIN,2.1,AED,114.35Cr,20.00%,Other Banks
PALESTINE INVESTMENT BANK P.L.C.,1.04,USD,8.32Cr,-13.98%,Other Banks
QNB FINANSBANK,318.5,TRY,28.57B,10.69%,Other Banks
RIYAD BANK,26.95,SAR,21.31B,-5.44%,Other Banks
SAUDI AWWAL BANK,35.65,SAR,19.69B,-5.94%,Other Banks
SEKERBANK T.A.S.,4.26,TRY,304M,-0.93%,Other Banks
SOHAR INTERNATIONAL BANK SAOG,0.134,OMR,194.09Cr,39.44%,Other Banks
TRKIYE HALK BANKASI,16.19,TRY,3.4B,34.89%,Other Banks
TRKIYE IS BANKASI,13.4,TRY,11.38B,43.62%,Other Banks
TRKIYE SINAI KALKINMA BANKASI,11.56,TRY,933M,76.64%,Other Banks
TRKIYE VAKIFLAR BANKASI TRK ANONIM ORTAKLIGI,19.91,TRY,570.64Cr,55.30%,Other Banks
THE NATIONAL BANK,1.23,USD,14Cr,-21.15%,Other Banks
THE NATIONAL BANK OF BAHRAIN B.S.C.,0.495,BHD,297.37Cr,-16.81%,Other Banks
THE NATIONAL BANK OF RAS AL-KHAIMAH,5.25,AED,292.99Cr,-0.94%,Other Banks
TURKIYE GARANTI BANKASI,110.6,TRY,13.48B,89.55%,Other Banks
UNION BANK OF ISRAEL LTD.,-,ILa,387M,-21.31%,Other Banks
YAPI VE KREDI BANKASI,31.56,TRY,7.48B,61.92%,Other Banks
ANATOLIA TANI VE BIYOTEKNOLOJI RNLERI AR-GE SANAYI TICARET,17.37,TRY,110M,39.28%,Other Biotechnology & Medical Research
APOSENSE LTD,155.5,ILa,0,111.85%,Other Biotechnology & Medical Research
DNA GROUP (T.R.) LTD,70,ILa,23.41M,10.76%,Other Biotechnology & Medical Research
EVOGENE LTD.,"1,443.00",ILa,1.98Cr,-51.87%,Other Biotechnology & Medical Research
HBL - HADASIT BIO-HOLDINGS LTD,35,ILa,1.05M,-47.76%,Other Biotechnology & Medical Research
MATRICELF LTD,369.9,ILa,15.97M,-10.72%,Other Biotechnology & Medical Research
MERCHAVIA HOLDINGS AND INVESTMENTS LTD,96,ILa,4.38M,1.59%,Other Biotechnology & Medical Research
UNIVO PHARMACEUTICALS LTD,"93,000.00",ILa,772K,0.00%,Other Biotechnology & Medical Research
XTL BIOPHARMACEUTICALS LTD.,9.7,ILa,3.32Cr,177.14%,Other Biotechnology & Medical Research
ANADOLU EFES BIRACILIK VE MALT SANAYII ANONIM SIRKETI,231.2,TRY,3.96B,68.22%,Other Brewers
GENERAL INVESTMENT CO. LTD.,2.9,JOD,4.09Cr,-3.33%,Other Brewers
KEO PLC,2.32,EUR,110M,42.33%,Other Brewers
TRK TUBORG BIRA VE MALT SANAYII,100,TRY,968M,36.52%,Other Brewers
MBC GROUP,45.8,SAR,4.05B,0.00%,Other Broadcasting
THE EGYPTIAN SATELLITE COMPANY NILESAT,6.79,USD,25Cr,4.46%,Other Broadcasting
AKDENIZ YATIRIM HOLDING,5.83,TRY,22.82M,50.52%,Other Business Support Services
AMANET MANAGEMENT & SYSTEMS LTD.,"1,638.00",ILa,29.03M,-7.04%,Other Business Support Services
BIO MEAT FOODTECH - LIMITED PARTNERSHIP,25.9,ILa,1.81Cr,-54.96%,Other Business Support Services
GENERATION CAPITAL LTD,60.2,ILa,202M,-8.23%,Other Business Support Services
IDNA GENOMICS PUBLIC LTD,27,EUR,8.34Cr,-2.17%,Other Business Support Services
OMAN INTERNATIONAL MARKETING CMPNY SAOG,0.518,OMR,673K,-.--%,Other Business Support Services
RAYA CONTACT CENTER (S.A.E),6.3,EGP,25.12M,12.30%,Other Business Support Services
SAUDI NETWORKERS SERVICES COMPANY,73.9,SAR,12Cr,25.47%,Other Business Support Services
SCODIX LTD.,278,ILa,23.08M,5.46%,Other Business Support Services
TGS DIS TICARET ANONIM SIRKETI,59.05,TRY,26.58M,104.47%,Other Business Support Services
PLASTIKKART AKILLI KART ILETISIM SISTEMLERI SANAYI VE TICARET,68.65,TRY,46.34M,113.86%,Other Commercial Printing Services
PRIZMA PRES MATBAACILIK YAYINCILIK SANAYI VE TICARET,40.02,TRY,28.61M,-4.26%,Other Commercial Printing Services
SARAY MATBAACILIK KAGITILIK KIRTASIYECILIK TICARET VE SANAYI,44.58,TRY,5.33Cr,10.22%,Other Commercial Printing Services
SAUDI PRINTING AND PACKAGING CO.,13.38,SAR,217M,-14.01%,Other Commercial Printing Services
ATAKULE GAYRIMENKUL YATIRIM ORTAKLIGI,6.92,TRY,5.41Cr,-18.06%,Other Commercial REITs
IS GAYRIMENKUL YATIRIM ORTAKLIGI,15.28,TRY,426M,-1.68%,Other Commercial REITs
MENIVIM - THE NEW REIT LTD,170.5,ILa,347M,1.07%,Other Commercial REITs
SELLA CAPITAL REAL ESTATE LTD.,709.9,ILa,427M,-17.24%,Other Commercial REITs
SERVET GAYRIMENKUL YATIRIM ORTAKLIGI,309.5,TRY,487M,0.24%,Other Commercial REITs
ADVANCED PETROCHEMICAL COMPANY,38.8,SAR,266.62Cr,-0.77%,Other Commodity Chemicals
AL KOUT INDUSTRIAL PROJECTS COMPANY K.S.C.P.,0.75,KWD,25Cr,-6.83%,Other Commodity Chemicals
ALUJAIN CORPORATION,41,SAR,759M,1.61%,Other Commodity Chemicals
BOUBYAN PETROCHEMICAL COMPANY K.S.C.P.,0.63,KWD,110.04Cr,7.69%,Other Commodity Chemicals
DINAMIK ISI MAKINA YALITIM MALZEMELERI SANAYI VE TICARET ANONIM SIRKETI,11.68,TRY,4.19Cr,-7.17%,Other Commodity Chemicals
INTERMEDIATE PETROCHEMICALS INDUSTRIES CO. LTD,0.21,JOD,889K,-8.70%,Other Commodity Chemicals
KALEKIM KIMYEVI MADDELER SANAYI VE TICARET ANONIM SIRKETI,24.28,TRY,326M,13.02%,Other Commodity Chemicals
MEGA POLIETILEN K–PK SANAYI VE TICARET ANONIM SIRKETI,3.42,TRY,27.89M,-17.39%,Other Commodity Chemicals
MERCAN KIMYA SANAYI VE TICARET ANONIM SIRKETI,13.82,TRY,7.65Cr,-0.58%,Other Commodity Chemicals
MESAIEED PETROCHEMICAL HOLDING COMPANY Q.P.S.C.,1.622,QAR,559.74Cr,-9.28%,Other Commodity Chemicals
MISR CHEMICAL INDUSTRIES CO.,30,EGP,67.46M,13.44%,Other Commodity Chemicals
NATIONAL INDUSTRIALIZATION COMPANY,11.54,SAR,205.01Cr,-6.79%,Other Commodity Chemicals
OMAN CHLORINE S.A.O.G.,0.479,OMR,88.96M,-6.08%,Other Commodity Chemicals
POLYRAM PLASTIC INDUSTRIES LTD,"1,095.00",ILa,325M,-0.45%,Other Commodity Chemicals
PRIMOTEC GROUP LTD,"1,068.00",ILa,4.13Cr,21.39%,Other Commodity Chemicals
SABIC,76.5,SAR,60.36B,-8.38%,Other Commodity Chemicals
SAUDI INDUSTRIAL INVESTMENT GROUP,19.4,SAR,3.89B,-12.61%,Other Commodity Chemicals
SAUDI KAYAN PETROCHEMICAL COMPANY,8.55,SAR,3.45B,-21.99%,Other Commodity Chemicals
SAUDI TOP FOR TRADING COMPANY,7,SAR,73.13M,-7.65%,Other Commodity Chemicals
SIDI KERIR PETROCHEMICALS CO.,28.81,EGP,45Cr,-0.89%,Other Commodity Chemicals
SODA SANAYII A.S.,-,TRY,1.05B,0.00%,Other Commodity Chemicals
SODAS SODYUM SANAYII,138.2,TRY,62.39M,90.36%,Other Commodity Chemicals
YANBU NATIONAL PETROCHEMICAL COMPANY,40,SAR,592.9Cr,5.12%,Other Commodity Chemicals
ACCEL SOLUTIONS GROUP LTD,105,ILa,4.12Cr,69.35%,Other Communications & Networking
ALCATEL LUCENT TELETAS TELEKOMNIKASYON,120.9,TRY,13Cr,57.83%,Other Communications & Networking
HAYAT COMMUNICATIONS COMPANY K.S.C.P.,0.0774,KWD,21.66M,-8.83%,Other Communications & Networking
KAREL ELEKTRONIK SANAYI VE TICARET,12.86,TRY,154M,10.51%,Other Communications & Networking
NETAS TELEKOMNIKASYON,81.75,TRY,159M,98.13%,Other Communications & Networking
ONUR YUKSEK TEKNOLOJI ANONIM SIRKETI,87.15,TRY,166M,0.00%,Other Communications & Networking
ORAD LTD,60,ILa,1.52Cr,1.35%,Other Communications & Networking
ICON GROUP LTD,427,ILa,65.36M,-8.76%,Other Computer & Electronics Retailers
RAYA HOLDING COMPANY FOR FINANCIAL INVESTMENTS (S.A.E),2.36,EGP,207M,69.18%,Other Computer & Electronics Retailers
UNITED ELECTRONICS COMPANY,91.7,SAR,190.99Cr,2.23%,Other Computer & Electronics Retailers
C-LAB LTD,899.2,ILa,20.7M,-32.59%,Other Computer Hardware
DATAGATE BILGISAYAR MALZEMELERI TICARET ANONIM SRIKETI,35.86,TRY,3.28Cr,49.29%,Other Computer Hardware
DESPEC BILGISAYAR PAZARLAMA VE TICARET ANONIM SIRKETI,43.42,TRY,29.15M,52.35%,Other Computer Hardware
INDEKS BILGISAYAR SISTEMLERI MHENDISLIK SANAYI VE TICARET ANONIM SIRKETI,7.15,TRY,161M,19.97%,Other Computer Hardware
INGRAM MICRO BILISIM SISTEMLERI ANONIM SIRKETI,485.25,TRY,346M,3.79%,Other Computer Hardware
MICRONET LTD,168.9,ILa,4.3M,-0.30%,Other Computer Hardware
PENTA TEKNOLOJI URUNLERI DAGITIM TICARET,14.3,TRY,167M,-20.57%,Other Computer Hardware
ACROW MISR,64.1,EGP,72.34M,49.38%,Other Construction & Engineering
AFCON HOLDINGS LTD,"9,542.00",ILa,13Cr,-0.08%,Other Construction & Engineering
AL ASHGHAL AL MOYSRA CO.,51,SAR,3.31Cr,0.00%,Other Construction & Engineering
AL FANAR CONTRACTING CONSTRUCTION TRADE IMPORT AND EXPORT CO,1.282,EGP,0,-2.29%,Other Construction & Engineering
AL HASSAN ENGINEERING COMPANY SAOG,0.02,OMR,39.06L,150.00%,Other Construction & Engineering
ASHTROM GROUP LTD.,"4,904.00",ILa,1.3B,-13.98%,Other Construction & Engineering
BIRLESIM MHENDISLIK ISITMA SOGUTMA HAVALANDIRMA SANAYI VE TICARET ANONIM SIRKETI,15.82,TRY,11Cr,-32.26%,Other Construction & Engineering
COMBINED GROUP CONTRACTING COMPANY - K.S.C. (PUBLIC),0.685,KWD,383M,51.55%,Other Construction & Engineering
DANYA CEBUS LTD.,"8,420.00",ILa,723M,-16.96%,Other Construction & Engineering
DEVELOPMENT & ENGINEERING CONSULTANTS,58.19,EGP,28.06M,83.10%,Other Construction & Engineering
DRAKE AND SCULL INTERNATIONAL,0.394,AED,306M,6.49%,Other Construction & Engineering
ELCO LTD.,"11,240.00",ILa,61Cr,-4.59%,Other Construction & Engineering
ELECTRA LIMITED,"1,48,990.00",ILa,153.61Cr,-2.57%,Other Construction & Engineering
EL-MOR ELECTRIC INSTALLATION & SERVICES (1986) LTD.,"1,014.00",ILa,9.88Cr,-1.55%,Other Construction & Engineering
"EL-SAEED COMPANY FOR CONTRACTING AND REAL ESTATE INVESTMENT ""SCCD"" (S.A.E.)",0.806,EGP,11.98M,9.96%,Other Construction & Engineering
ENKA INSAAT VE SANAYI,46.48,TRY,8.12B,36.82%,Other Construction & Engineering
ESTITHMAR HOLDING Q.P.S.C.,1.862,QAR,174.11Cr,-11.12%,Other Construction & Engineering
G.P. GLOBAL POWER LTD,"1,632.00",ILa,89.14M,20.98%,Other Construction & Engineering
GALFAR ENGINEERING & CONTRACTING SAOG,0.136,OMR,200M,-19.53%,Other Construction & Engineering
"GENERAL COMPANY FOR LAND RECLAMATION, DEVELOPMENT & RECONSTRUCTION",43.48,EGP,5.8M,-5.58%,Other Construction & Engineering
GHARBIA ISLAMIC HOUSING DEVELOPMENT COMPANY,22.66,EGP,26.13L,2.49%,Other Construction & Engineering
GIRISIM ELEKTRIK SANAYI TAAHHT VE TICARET,44.06,TRY,59Cr,-33.78%,Other Construction & Engineering
GIZA GENERAL - CONTRACTING AND REAL ESTATE INVESTMENT S.A.E,0.42,EGP,12.42M,13.21%,Other Construction & Engineering
HANGJI GLOBAL LIMITED,18.3,EUR,1.03B,-.--%,Other Construction & Engineering
INDUSTRIAL & ENGINEERING PROJECTS,0.43,EGP,0,-.--%,Other Construction & Engineering
K + G COMPLEX,0.27,EUR,3.89Cr,-22.41%,Other Construction & Engineering
KONTROLMATIK TEKNOLOJI ENERJI VE MUHENDISLIK ANONIM SIRKETI,50.45,TRY,63Cr,-47.69%,Other Construction & Engineering
LESICO LTD,342,ILa,4.48Cr,31.47%,Other Construction & Engineering
LEWINSKY-OFER LTD.,221.5,ILa,1.52Cr,-9.22%,Other Construction & Engineering
LUDAN ENGINEERING CO. LTD,"1,782.00",ILa,5.47Cr,17.39%,Other Construction & Engineering
MINRAV HOLDINGS,"72,630.00",ILa,216M,25.16%,Other Construction & Engineering
NASR COMPANY FOR CIVIL WORKS,4.14,EGP,1.37Cr,20.82%,Other Construction & Engineering
NASS CORPORATION BSC,0.083,BHD,47.32M,-19.42%,Other Construction & Engineering
NATIONAL MARINE DREDGING COMPANY,25.86,AED,580.85Cr,-13.22%,Other Construction & Engineering
NEXTCOM LTD.,688.1,ILa,26.19M,-1.19%,Other Construction & Engineering
OMAN NATIONAL ENGINEERING & INVESTMENT COMPANY SAOG,0.113,OMR,4.4Cr,0.89%,Other Construction & Engineering
ORASCOM CONSTRUCTION INDUSTRIES SAE,217.47,EGP,0,-.--%,Other Construction & Engineering
ORASCOM CONSTRUCTION PLC,5,USD,55Cr,53.85%,Other Construction & Engineering
ORGE ENERJI ELEKTRIK TAAHHT ANONIM SIRKETI,71.55,TRY,173M,15.56%,Other Construction & Engineering
ORON GROUP INVESTMENTS & HOLDINGS LTD,790,ILa,14Cr,39.82%,Other Construction & Engineering
OSTIM ENDSTRIYEL YATIRIMLAR VE ISLETME,7.06,TRY,3.17Cr,12.48%,Other Construction & Engineering
RAL YATIRIM HOLDING,289.25,TRY,527M,271.55%,Other Construction & Engineering
RAOOM TRADING COMPANY,137.2,SAR,233M,16.87%,Other Construction & Engineering
RIMON CONSULTING & MANAGEMENT SERVICES LTD.,"3,072.00",ILa,295M,-14.07%,Other Construction & Engineering
SHIKUN & BINUI LTD.,890.2,ILa,126.56Cr,-13.32%,Other Construction & Engineering
SPECIALIZED TRADING & INVESTMENTS CO.,1.01,JOD,14.25L,-33.99%,Other Construction & Engineering
TANMIYA FOR REAL ESTATE INVESTMENT (S.A.E),3.77,EGP,93.71L,66.08%,Other Construction & Engineering
TEK-ART INSAAT TICARET TURIZM SANAYI VE YATIRIMLAR ANONIM SIRKETI,5.01,TRY,46.63M,77.03%,Other Construction & Engineering
TEKFEN HOLDING ANONIM SIRKETI,52.8,TRY,59Cr,42.74%,Other Construction & Engineering
THE EGYPTIAN COMPANY FOR CONSTRUCTION DEVELOPMENT,0.294,EGP,33.83L,-2.00%,Other Construction & Engineering
THE KUWAIT COMPANY FOR PROCESS PLANT CONSTRUCTION AND CONTRACTING K.S.C.P.,0.33,KWD,14Cr,50.89%,Other Construction & Engineering
UTRON LTD,398.8,ILa,22.02M,7.99%,Other Construction & Engineering
WAJA COMPANY,6.5,SAR,12Cr,8.15%,Other Construction & Engineering
YA'ACOBI BROTHERS GROUP (YSB) LTD,38.2,ILa,1.87Cr,-22.04%,Other Construction & Engineering
YEO TEKNOLOJI ENERJI VE ENDUSTRI ANONIM SIRKETI,185.8,TRY,506M,13.25%,Other Construction & Engineering
YESIL YAPI ENDSTRISI,5.48,TRY,47.25M,84.51%,Other Construction & Engineering
ABU DHABI NATIONAL COMPANY FOR BUILDING MATERIALS,0.465,AED,36.75M,92.15%,Other Construction Materials
